,aeropuer-aemet
434,-32.470364
435,23.892794
436,7.6118717
437,11.569727
438,12.0810795
439,-5.517852
440,-14.671895
441,-4.3783903
442,-3.0098689
443,117.73588
444,304.21426
445,582.06903
446,689.5368
447,676.4552
448,670.3235
449,367.1005
450,285.45288
451,219.84071
452,25.22264
453,23.775827
454,9.759498
455,27.139175
456,18.317415
457,4.137208
458,-39.86469
459,-77.74037
460,-54.785347
461,-39.82303
462,-13.235052
463,-21.4007
464,-34.42244
465,-38.980835
466,-2.3424811
467,156.95004
468,332.44513
469,620.2944
470,643.2686
471,604.9566
472,625.7746
473,395.9136
474,270.69785
475,238.87291
476,30.589615
477,12.898322
478,52.15536
479,60.782448
480,90.251205
481,97.88646
482,-4.6351085
483,-4.883374
484,45.029552
485,35.214394
486,4.2176394
487,-14.296657
488,-36.004448
489,-10.4378395
490,120.94765
491,240.58047
492,473.1586
493,560.21387
494,685.6078
495,685.96747
496,665.7009
497,420.77655
498,272.10974
499,237.02663
500,35.06693
501,73.86288
502,-39.07508
503,6.319979
504,19.638357
505,19.769075
506,-20.123579
507,-2.203069
508,-19.450418
509,-30.100216
510,8.791778
511,-44.847343
512,16.388523
513,-33.003925
514,150.8542
515,175.6915
516,370.67447
517,607.1974
518,744.3229
519,712.4347
520,577.40765
521,414.98367
522,270.67017
523,113.029396
524,-42.61292
525,-43.00693
526,-31.715843
527,39.477474
528,5.1727233
529,9.43104
530,-22.349522
531,-28.635443
532,26.934566
533,-19.727673
534,-34.575138
535,-34.09672
536,-32.471714
537,72.17455
538,8.777021
539,133.61505
540,414.27505
541,667.21295
542,729.50684
543,647.20703
544,630.8277
545,400.61792
546,187.99243
547,143.13605
548,2.8769794
549,12.02805
550,43.103672
551,6.755885
552,24.894455
553,38.75267
554,7.780085
555,24.715813
556,25.692284
557,7.889288
558,12.526735
559,2.4306607
560,6.6110144
561,-38.214108
562,-37.67248
563,86.41709
564,350.9457
565,571.68567
566,674.40686
567,673.867
568,646.5043
569,309.062
570,195.62755
571,140.14384
572,-14.216825
573,-35.54976
574,-63.433582
575,-70.71152
576,-59.40627
577,-58.563698
578,-4.8357525
579,6.956459
580,2.3375182
581,13.149408
582,-10.257463
583,-16.694311
584,-22.53596
585,68.63799
586,-40.07552
587,149.47708
588,422.14078
589,638.0141
590,668.03503
591,622.0319
592,638.3335
593,450.51923
594,242.28706
595,227.74046
596,16.274897
597,-16.893986
598,27.511372
599,-58.566456
600,-87.17514
601,34.324852
602,114.07148
603,237.91002
604,613.1496
605,666.61957
606,733.2178
607,606.1755
608,404.6453
609,271.63757
610,192.99031
611,-91.911606
612,3.1946397
613,15.736523
614,-46.74142
615,-25.17336
616,6.386161
617,9.869856
618,24.75617
619,3.0544744
620,-5.241663
621,-83.91356
622,11.587728
623,21.324287
624,-48.525307
625,-0.7322411
626,144.08089
627,389.93674
628,492.76215
629,628.14014
630,488.3297
631,572.3289
632,370.6011
633,363.50906
634,273.8156
635,-8.208431
636,-6.919634
637,33.100456
638,-50.27535
639,18.136147
640,5.302809
641,-23.117893
642,-21.235634
643,-53.86377
644,9.727681
645,-13.361941
646,-13.028281
647,9.653893
648,23.310871
649,82.0136
650,144.83308
651,360.05695
652,633.9393
653,687.03204
654,696.9324
655,715.7026
656,443.5812
657,241.90715
658,158.42856
659,7.6163754
660,63.33628
661,55.90954
662,55.97723
663,55.97723
664,55.9448
665,-26.437714
666,-20.124628
667,-19.16215
668,9.876981
669,11.223016
670,-6.3846717
671,0.5335993
672,-3.3702126
673,91.06766
674,200.30534
675,371.74847
676,606.10565
677,622.25385
678,607.73645
679,560.81036
680,373.05383
681,258.16235
682,161.34796
683,6.7573924
684,20.275991
685,21.97218
686,52.48505
687,62.922176
688,60.173267
689,-77.387314
690,-116.55752
691,59.284687
692,-33.486412
693,100.105446
694,-28.254986
695,-21.172606
696,5.2092056
697,244.89668
698,295.71332
699,351.74088
700,699.4776
701,747.4982
702,674.6036
703,703.96027
704,481.98392
705,309.79614
706,258.91556
707,59.782707
708,47.169407
709,45.32189
710,40.367493
711,-3.1674216
712,41.5682
713,-16.222
714,-5.19466
715,-24.27283
716,6.496414
717,17.69284
718,9.172445
719,-16.360878
720,-1.8922073
721,138.89972
722,197.3872
723,406.19928
724,634.6116
725,640.93744
726,673.7773
727,638.2522
728,417.8008
729,231.7306
730,211.67723
731,-13.824064
732,-25.967817
733,-29.833143
734,-21.483921
735,4.932541
736,6.76574
737,-2.1369176
738,-29.83294
739,-31.5935
740,-68.16074
741,-35.10912
742,-39.691467
743,-25.241253
744,-24.822155
745,104.38042
746,134.5431
747,402.83807
748,660.8196
749,683.06464
750,685.2238
751,613.53265
752,471.35507
753,310.04865
754,191.69788
755,52.348083
756,28.498817
757,10.999665
758,14.719802
759,12.560194
760,25.82406
761,-39.913296
762,-55.854103
763,-16.746077
764,-11.224571
765,-23.160711
766,-8.507927
767,-24.262459
768,-31.671852
769,28.625032
770,201.49533
771,397.10477
772,677.8999
773,700.6461
774,698.3397
775,658.3818
776,451.90405
777,252.25093
778,203.63362
779,41.36406
780,12.182641
781,7.1542587
782,12.544135
783,2.980622
784,-5.1064644
785,-19.886536
786,-18.424496
787,-11.783013
788,-6.384452
789,-4.908125
790,-0.9929122
791,-10.3565035
792,-26.862556
793,61.89158
794,161.12897
795,388.69064
796,624.26465
797,698.47754
798,708.3055
799,679.2571
800,447.4023
801,338.35306
802,254.91537
803,69.0265
804,51.12005
805,49.03144
806,47.351124
807,22.193377
808,22.589071
809,-23.509014
810,-35.763878
811,-62.228188
812,-57.707703
813,-26.334793
814,-34.95298
815,-25.670277
816,-22.261538
817,70.85554
818,248.71815
819,398.6758
820,627.89954
821,743.0721
822,726.25806
823,700.5547
824,441.04794
825,339.42166
826,252.98389
827,63.09625
828,40.841064
829,53.17932
830,26.49944
831,52.4606
832,65.28125
833,-27.570337
834,-27.031693
835,-36.726055
836,-21.470993
837,-42.56705
838,-14.624386
839,-29.398643
840,-26.673346
841,83.53888
842,225.5531
843,386.36093
844,630.15967
845,704.7691
846,712.2116
847,675.0711
848,444.51868
849,273.1796
850,115.9477
851,1.5820532
852,-45.670593
853,-13.30978
854,-4.9917736
855,-61.236275
856,-15.748847
857,-11.134088
858,-14.238258
859,-3.970007
860,-10.384479
861,-19.868567
862,-16.044632
863,15.168377
864,2.5246654
865,60.230183
866,141.71944
867,400.9978
868,676.27515
869,686.64557
870,652.91547
871,577.1617
872,393.99307
873,226.74464
874,202.86357
875,65.58143
876,15.769956
877,66.46203
878,30.491825
