,miraflores
447,137.0119
448,132.38054
449,48.36276
450,181.98993
451,252.66582
452,192.6381
453,187.71283
454,277.21957
455,387.97873
456,288.86334
457,292.2199
458,301.7507
459,224.36238
460,296.05933
461,236.88574
462,932.3297
463,476.97937
464,1.074631
465,-68.04644
466,-28.088125
467,-47.00588
468,271.8231
469,166.26904
470,101.96884
471,263.17856
472,268.09964
473,259.92224
474,277.28818
475,357.76596
476,399.63748
477,326.04367
478,279.47742
479,256.6721
480,192.08913
481,229.06755
482,299.7535
483,814.78546
484,470.50183
485,25.722363
486,-75.02493
487,3.046547
488,-0.5222473
489,-34.00443
490,32.372417
491,-7.073034
492,-14.922081
493,166.38206
494,198.83775
495,229.66531
496,257.94107
497,159.35612
498,193.48708
499,242.56274
500,175.92169
501,293.2576
502,206.81035
503,68.43925
504,86.67113
505,266.6068
506,168.95909
507,819.3801
508,437.60535
509,188.9756
510,192.8713
511,60.72257
512,116.598946
513,103.640175
514,0.023790538
515,111.291504
516,257.01926
517,264.62897
518,281.32114
519,313.18042
520,308.56393
521,319.44937
522,289.57352
523,336.61047
524,342.22128
525,287.9584
526,278.7086
527,308.74844
528,224.20804
529,345.11896
530,319.37027
531,725.5993
532,327.78705
533,335.15973
534,474.8653
535,100.07685
536,36.077045
537,163.72525
538,297.03186
539,276.30457
540,270.93323
541,344.00906
542,304.01828
543,353.0321
544,352.91852
545,160.14825
546,125.617874
547,327.4512
548,200.55287
549,299.36774
550,295.74982
551,290.8147
552,245.85347
553,273.85855
554,199.5562
555,434.16287
556,249.83601
557,122.31802
558,19.728434
559,-15.238109
560,-124.37374
561,-85.8468
562,56.319252
563,197.57437
564,211.54666
565,255.43822
566,393.6815
567,371.7606
568,330.1332
569,352.17642
570,303.70322
571,419.0799
572,465.21683
573,457.25018
574,428.17322
575,401.3885
576,355.45386
577,375.39117
578,354.18024
579,782.66846
580,406.5113
581,336.55896
582,83.73888
583,-117.19565
584,-6.7742906
585,-45.672844
586,99.74068
587,-39.976265
588,8.699063
589,401.71423
590,213.49184
591,297.36935
592,297.36935
593,264.12997
594,262.9094
595,412.89655
596,415.68436
597,406.2809
598,383.1214
599,417.58795
600,350.79922
601,344.77728
602,335.33365
603,815.7301
604,385.5995
605,-2.4355373
606,92.81758
607,49.37812
608,52.629185
609,142.7025
610,213.14566
611,245.14076
612,222.06163
613,256.07343
614,230.03581
615,208.02977
616,234.07112
617,276.7744
618,223.14749
619,191.65305
620,157.53247
621,298.61047
622,159.31116
623,611.9463
624,426.8834
625,218.27312
626,-17.265013
627,32.250443
628,-61.13369
629,29.385921
630,-34.147964
631,81.55748
632,81.12655
633,179.90312
634,170.40948
635,239.74512
636,254.17923
637,269.43878
638,335.94226
639,141.40163
640,154.04109
641,159.18109
642,285.54587
643,135.79697
644,185.6999
645,116.370735
646,140.63968
647,386.46008
648,243.77911
649,314.4519
650,335.52487
651,314.68198
652,351.87338
653,348.67905
654,190.60355
655,376.5026
656,317.8181
657,347.06714
658,209.90224
659,279.52148
660,192.22464
661,278.6739
662,324.5948
663,376.77435
664,284.66626
665,356.42908
666,369.17453
667,377.60562
668,220.3266
669,222.76181
670,253.10812
671,451.01178
672,-20.030914
673,-69.63269
674,-44.036854
675,-33.90628
676,-55.502987
677,-59.44506
678,-44.198483
679,-14.078171
680,104.871796
681,62.12
682,62.22676
683,157.03586
684,167.81834
685,189.45178
686,298.00128
687,367.98355
688,296.57974
689,295.66446
690,296.56635
691,191.99127
692,266.00275
693,256.7649
694,751.5555
695,239.33235
696,66.16622
697,-1.0240579
698,16.310575
699,-126.55882
700,166.18275
701,-59.03169
702,4.0032187
703,185.43068
704,327.8146
705,335.4576
706,251.2807
707,130.11388
708,157.65533
709,241.35872
710,335.43854
711,319.6817
712,328.74857
713,242.08307
714,281.75116
715,293.30316
716,200.86781
717,179.15123
718,673.53375
719,598.5676
720,384.57123
721,367.4616
722,387.24945
723,226.58846
724,143.3697
725,7.2541485
726,362.60785
727,482.7465
728,560.1162
729,102.68152
730,115.42003
731,158.30743
732,118.48773
733,146.65392
734,292.1816
735,277.94315
736,230.06967
737,173.83034
738,208.37086
739,204.4601
740,190.03818
741,217.96461
742,719.6282
743,449.67755
744,390.58307
745,107.63331
746,201.86253
747,239.845
748,42.358364
749,-45.607666
750,52.860886
751,102.24203
752,357.6246
753,202.75095
754,202.38335
755,170.61177
756,387.44943
757,194.24336
758,323.00934
759,379.6762
760,357.35144
761,282.75192
762,371.52902
763,224.64398
764,169.02069
765,297.78156
766,710.5553
767,533.7835
768,200.49461
769,-7.435392
770,28.360046
771,9.253475
772,-54.502678
773,10.294483
774,-11.235931
775,-44.85037
776,294.08273
777,122.07715
778,166.06476
779,178.12108
780,194.86815
781,217.04568
782,391.72693
783,338.68613
784,392.78494
785,377.74008
786,390.72397
787,324.2246
788,368.0554
789,373.68665
790,856.0003
791,485.67548
792,17.003298
793,-97.09291
794,-48.85845
795,-13.489605
796,-60.199543
797,-51.306355
798,-37.660736
799,-48.88138
800,153.38414
801,134.83559
802,233.30063
803,213.85837
804,174.98988
805,188.84413
806,381.45444
807,344.91928
808,454.3656
809,386.56195
810,402.97763
811,312.8286
812,367.8379
813,368.10608
814,692.7892
815,419.34528
816,30.550762
817,-51.34873
818,73.998566
819,-0.26128292
820,47.369595
821,5.0928526
822,16.772722
823,126.81483
824,287.6275
825,95.39089
826,35.244293
827,82.95966
828,83.05721
829,79.67272
830,213.56439
831,249.1347
832,452.96133
833,363.4318
834,378.84485
835,337.5401
836,334.77435
837,334.51062
838,771.1289
839,455.6387
840,506.08914
841,110.69134
842,127.339325
843,17.61045
844,5.8867984
845,322.04828
846,368.50943
847,380.2093
848,375.74265
849,162.7661
850,79.211395
851,83.833954
852,95.37258
853,120.6049
854,334.77448
855,217.5539
856,175.88165
857,346.292
858,348.04138
859,257.85007
860,322.6364
861,336.58798
862,851.47614
863,526.62427
864,381.64014
865,7.7871575
866,-33.38402
867,357.92435
868,86.730576
869,136.36249
870,251.35835
871,209.0624
872,482.02344
873,163.00342
874,139.92989
875,115.34319
876,181.49658
877,92.48665
878,222.64694
879,184.04376
880,176.24226
881,166.78325
882,342.8592
883,151.30951
884,328.91034
885,215.98929
886,818.15326
887,386.79446
888,402.61746
889,407.62848
890,430.55786
891,123.199554
892,238.24683
893,372.05487
894,421.92386
895,298.30798
896,557.64954
897,159.38771
898,162.49095
899,190.13087
900,149.90057
901,251.54485
902,342.10583
903,278.45792
904,382.51727
905,159.83759
906,216.7288
907,202.45015
908,231.38501
909,294.09277
910,739.63055
911,480.61285
912,434.51398
913,379.91183
914,77.67152
915,219.26115
916,-49.004032
917,126.33895
918,209.30807
919,297.34293
920,440.68152
921,154.49237
922,92.031204
923,68.387115
924,109.16514
925,120.14512
926,234.60991
927,205.15921
928,206.93582
929,337.44955
930,260.94617
931,228.68535
932,216.2768
933,200.11255
934,726.2696
935,544.37634
936,410.80075
937,244.39893
938,73.724846
939,45.537247
940,49.886074
941,83.25597
942,191.82938
943,468.34628
944,506.90836
945,166.22975
946,149.63313
947,190.97005
948,124.04933
949,222.75671
950,332.86627
951,281.02115
952,184.25127
953,286.308
954,278.6191
955,126.11274
956,146.21696
957,185.00206
958,757.25665
959,464.06238
960,480.26205
961,270.6342
962,242.17798
963,229.93756
964,264.83707
965,235.34163
966,243.3439
967,271.92285
968,479.94077
969,178.94652
970,88.90955
971,151.22215
972,178.99088
973,197.5031
974,308.40707
975,327.61517
976,297.5888
977,196.78421
978,288.04303
979,222.0596
980,265.9009
981,233.86745
982,670.6345
983,501.63666
984,453.70984
985,292.77737
986,267.18896
987,310.21014
988,336.42093
989,315.88373
990,457.92865
991,282.48438
992,336.8012
993,41.47086
994,31.425827
995,47.54676
996,112.88799
997,134.20116
998,410.3485
999,402.25504
1000,401.11075
1001,275.46848
1002,394.57214
1003,373.6127
1004,216.3831
1005,406.83292
1006,680.78955
1007,425.15134
1008,373.5508
1009,278.42648
1010,-47.833153
1011,-56.600365
1012,141.1519
1013,-61.008785
1014,15.735485
1015,45.987988
1016,411.04486
1017,144.50244
1018,249.03223
1019,251.23346
1020,270.82687
1021,248.95038
1022,359.35834
1023,296.69873
1024,324.40082
1025,277.26434
1026,369.94025
1027,321.755
1028,288.80728
1029,294.36398
1030,914.0704
1031,768.80145
1032,143.66821
1033,-32.744038
1034,-3.729323
1035,-4.9212604
1036,-71.66585
1037,-90.85157
