,mont-samagallo
423,-142.71652
424,-34.11187
425,-77.819115
426,-49.37893
427,-11.199829
428,-8.183325
429,299.14047
430,364.6654
431,471.41193
432,430.09677
433,380.95956
434,366.46533
435,136.07755
436,44.790333
437,-0.3929081
438,-5.2644606
439,15.417161
440,43.002747
441,-3.3707433
442,4.2204385
443,17.011473
444,4.319436
445,-13.28978
446,-3.2745142
447,5.5818644
448,-0.2101203
449,2.4640646
450,-17.459284
451,25.342035
452,211.96642
453,471.12192
454,663.3682
455,627.633
456,663.2141
457,590.52026
458,435.10468
459,167.46715
460,108.75693
461,-8.404105
462,-4.1253853
463,19.494032
464,18.561316
465,-20.084282
466,19.179928
467,-4.180001
468,11.40095
469,-16.446945
470,-7.71336
471,-13.527645
472,-6.0105743
473,-9.0523615
474,26.672657
475,59.27331
476,233.80984
477,340.39627
478,468.90988
479,559.1758
480,539.5136
481,466.20682
482,307.2593
483,154.44492
484,88.09449
485,-1.395792
486,-4.6560087
487,-2.165226
488,21.514872
489,-2.126458
490,-7.065927
491,0.37056944
492,4.1715
493,6.4690585
494,3.0130713
495,9.704489
496,0.16333625
497,6.9166813
498,7.727079
499,45.76065
500,358.8298
501,476.2996
502,431.86813
503,405.92386
504,216.04962
505,425.74133
506,370.38962
507,206.91609
508,105.718346
509,48.772938
510,-11.469666
511,1.4261904
512,0.4437732
513,4.1202374
514,0.86968845
515,-8.895293
516,-6.565794
517,23.857279
518,0.863034
519,-8.230431
520,-7.077311
521,5.7145433
522,20.33976
523,-33.50686
524,275.55536
525,553.0395
526,542.2336
527,693.0403
528,620.2964
529,556.4892
530,444.13196
531,144.29749
532,201.82777
533,21.858624
534,-5.1548567
535,37.388466
536,-29.688715
537,-1.7424079
538,-24.985933
539,25.410158
540,-11.219139
541,0.3590418
542,8.891587
543,4.51368
544,-5.5739737
545,11.601976
546,14.889683
547,67.90155
548,230.4371
549,396.79303
550,569.9478
551,603.34674
552,626.3868
553,563.5971
554,413.7159
555,176.84761
556,134.20891
557,21.472738
558,9.372161
559,7.0792065
560,1.918439
561,-35.37413
562,-3.672237
563,-10.453572
564,-0.05258143
565,-8.225043
566,-14.181823
567,-29.749447
568,-35.28012
569,-34.07753
570,17.03885
571,38.86567
572,223.99419
573,427.02487
574,653.2128
575,575.50653
576,662.5032
577,627.37305
578,422.98022
579,366.42896
580,132.8145
581,44.683918
582,18.516104
583,-11.399948
584,26.186476
585,-52.47544
586,10.966152
587,-44.627132
588,-40.701496
589,-28.635311
590,-26.048313
591,-30.815445
592,-41.983814
593,8.417411
594,-1.1340518
595,46.519894
596,201.9664
597,482.21048
598,592.6255
599,616.8177
600,607.1318
601,546.14154
602,482.6686
603,192.20903
604,98.44585
605,2.368771
606,3.648127
607,-48.90427
608,-3.4110518
609,8.289413
610,-52.500397
611,5.402114
612,2.2208872
613,-14.212644
614,-8.651138
615,0.73055303
616,6.678998
617,-4.368099
618,-2.4427865
619,62.25501
620,196.35547
621,461.14862
622,538.7877
623,650.8007
624,678.22437
625,548.43854
626,418.73465
627,225.2895
628,126.759186
629,29.449163
630,13.7547245
631,14.255057
632,7.57002
633,-46.78522
634,-4.382041
635,-60.519096
636,6.108309
637,-1.7697037
638,-20.774317
639,-14.698784
640,-10.400916
641,-11.873191
642,-3.5277498
643,67.81975
644,242.50906
645,387.1886
646,538.9536
647,622.84344
648,731.6388
649,685.34753
650,410.82025
651,243.32483
652,104.40694
653,-85.52651
654,10.222933
655,-0.8950116
656,-15.245087
657,10.952558
658,3.0584474
659,-10.477554
660,-5.8846035
661,-8.759834
662,0.9976794
663,0.5164509
664,-1.7126266
665,7.3164244
666,-3.9143894
667,19.87727
668,94.173454
669,111.83304
670,192.49487
671,179.3742
672,412.36203
673,219.12566
674,200.68423
675,107.52204
676,94.391304
677,2.3388257
678,3.3192606
679,-10.13425
680,-1.7456131
681,-4.038188
682,5.742855
683,5.831091
684,-0.59179
685,-12.351283
686,-2.4905899
687,11.76656
688,11.983223
689,13.73475
690,5.799127
691,13.899904
692,170.9835
693,169.93896
694,245.3279
695,318.45535
696,373.6648
697,296.5048
698,256.87915
699,123.65232
700,102.00698
701,11.983486
702,-4.640537
703,-5.712673
704,-6.1532145
705,2.2740517
706,18.54688
707,21.910746
708,-12.236715
709,6.2462606
710,-5.228896
711,-40.33697
712,-50.568283
713,14.426894
714,-50.113625
715,77.93616
716,204.51309
717,189.3952
718,136.86562
719,57.440617
720,121.86767
721,77.70919
722,145.33748
723,2.6141384
724,28.647573
725,-17.292145
726,-22.209444
727,-20.59554
728,-14.131016
729,-14.131016
730,5.174727
731,1.9504756
732,23.871256
733,-27.894129
734,-8.795948
735,-8.795948
736,-6.9662848
737,-8.865159
738,21.77972
