time,hum,wind,maxwind,winddir,rain,temp,Hour,Month
2016-12-13 13:00:00+00:00,57.2,3.8400000000000007,20.9,276.8,0.0,17.12,13,12
2016-12-13 14:00:00+00:00,62.666666666666664,2.6666666666666665,20.9,270.1666666666667,0.0,16.833333333333332,14,12
2016-12-13 15:00:00+00:00,63.5,4.55,20.9,241.5,0.0,16.716666666666665,15,12
2016-12-13 16:00:00+00:00,60.666666666666664,1.866666666666667,20.9,264.3333333333333,0.0,17.066666666666666,16,12
2016-12-13 17:00:00+00:00,61.0,3.1999999999999997,20.9,271.6666666666667,0.0,16.333333333333332,17,12
2016-12-13 18:00:00+00:00,71.33333333333333,1.5999999999999999,20.9,170.16666666666666,0.0,13.616666666666667,18,12
2016-12-13 19:00:00+00:00,71.83333333333333,4.0,20.9,85.0,0.0,11.466666666666667,19,12
2016-12-13 20:00:00+00:00,71.5,2.4,20.9,103.33333333333333,0.0,10.533333333333333,20,12
2016-12-13 21:00:00+00:00,79.16666666666667,3.2000000000000006,20.9,90.0,0.0,9.65,21,12
2016-12-13 22:00:00+00:00,78.33333333333333,2.4,20.9,102.5,0.0,9.383333333333333,22,12
2016-12-13 23:00:00+00:00,77.66666666666667,3.1999999999999997,20.9,101.83333333333333,0.0,9.316666666666666,23,12
2016-12-14 00:00:00+00:00,78.5,2.4,5.066666666666666,107.66666666666667,0.0,8.9,0,12
2016-12-14 01:00:00+00:00,78.16666666666667,2.6666666666666665,6.400000000000001,116.33333333333333,0.0,8.716666666666667,1,12
2016-12-14 02:00:00+00:00,77.66666666666667,2.9333333333333336,6.400000000000001,107.33333333333333,0.0,8.416666666666666,2,12
2016-12-14 03:00:00+00:00,79.66666666666667,2.4,6.400000000000001,108.66666666666667,0.0,8.283333333333333,3,12
2016-12-14 04:00:00+00:00,76.66666666666667,2.9333333333333336,8.0,98.5,0.0,8.733333333333333,4,12
2016-12-14 05:00:00+00:00,73.5,2.4,8.0,105.33333333333333,0.0,8.666666666666666,5,12
2016-12-14 06:00:00+00:00,77.5,2.9333333333333336,8.0,106.0,0.0,7.966666666666668,6,12
2016-12-14 07:00:00+00:00,77.0,2.4,8.0,111.33333333333333,0.0,7.616666666666667,7,12
2016-12-14 08:00:00+00:00,73.66666666666667,2.6666666666666665,8.0,110.33333333333333,0.0,8.433333333333334,8,12
2016-12-14 09:00:00+00:00,67.0,1.0666666666666667,8.0,119.5,0.0,12.049999999999999,9,12
2016-12-14 10:00:00+00:00,55.5,1.5999999999999999,8.0,217.66666666666666,0.0,16.05,10,12
2016-12-14 11:00:00+00:00,62.666666666666664,4.533333333333334,11.766666666666666,223.0,0.0,16.8,11,12
2016-12-14 12:00:00+00:00,75.66666666666667,9.1,19.566666666666666,130.16666666666666,0.0,16.183333333333334,12,12
2016-12-14 13:00:00+00:00,80.16666666666667,8.566666666666668,20.9,111.66666666666667,0.0,15.85,13,12
2016-12-14 14:00:00+00:00,78.0,4.266666666666667,20.9,250.5,0.0,16.716666666666665,14,12
2016-12-14 15:00:00+00:00,82.0,3.466666666666667,20.9,261.0,0.0,16.166666666666668,15,12
2016-12-14 16:00:00+00:00,84.83333333333333,2.1333333333333333,20.9,270.8333333333333,0.0,15.316666666666668,16,12
2016-12-14 17:00:00+00:00,83.5,1.3333333333333333,20.9,260.1666666666667,0.0,15.35,17,12
2016-12-14 18:00:00+00:00,89.0,0.0,20.9,267.1666666666667,0.0,13.15,18,12
2016-12-14 19:00:00+00:00,92.16666666666667,0.5333333333333333,20.9,117.16666666666667,0.0,12.65,19,12
2016-12-14 20:00:00+00:00,92.83333333333333,0.0,20.9,98.0,0.0,11.933333333333332,20,12
2016-12-14 21:00:00+00:00,92.33333333333333,0.8000000000000002,20.9,113.5,0.0,10.9,21,12
2016-12-14 22:00:00+00:00,92.33333333333333,0.26666666666666666,20.9,108.33333333333333,0.0,10.633333333333333,22,12
2016-12-14 23:00:00+00:00,89.5,1.0666666666666667,20.9,115.66666666666667,0.0,9.916666666666666,23,12
2016-12-15 00:00:00+00:00,91.66666666666667,1.866666666666667,3.733333333333333,99.66666666666667,0.0,9.183333333333334,0,12
2016-12-15 01:00:00+00:00,89.83333333333333,2.1333333333333333,5.866666666666667,98.33333333333333,0.0,9.716666666666667,1,12
2016-12-15 02:00:00+00:00,87.0,2.4,6.400000000000001,100.33333333333333,0.0,9.433333333333334,2,12
2016-12-15 03:00:00+00:00,84.0,1.5999999999999999,7.466666666666666,103.83333333333333,0.0,10.0,3,12
2016-12-15 04:00:00+00:00,83.16666666666667,1.6000000000000003,8.0,89.83333333333333,0.0,9.15,4,12
2016-12-15 05:00:00+00:00,84.16666666666667,1.866666666666667,8.0,91.0,0.0,8.966666666666667,5,12
2016-12-15 06:00:00+00:00,81.16666666666667,4.0,9.1,97.5,0.0,9.75,6,12
2016-12-15 07:00:00+00:00,78.16666666666667,1.3333333333333333,11.300000000000002,103.5,0.0,9.383333333333333,7,12
2016-12-15 08:00:00+00:00,80.5,3.466666666666667,11.300000000000002,93.0,0.0,8.633333333333333,8,12
2016-12-15 09:00:00+00:00,76.33333333333333,1.3333333333333333,11.300000000000002,111.16666666666667,0.0,11.116666666666667,9,12
2016-12-15 10:00:00+00:00,77.16666666666667,0.5333333333333333,11.300000000000002,253.5,0.0,14.299999999999999,10,12
2016-12-15 11:00:00+00:00,83.83333333333333,1.6000000000000003,11.300000000000002,261.6666666666667,0.0,14.216666666666667,11,12
2016-12-15 12:00:00+00:00,81.33333333333333,2.4,11.300000000000002,202.16666666666666,0.0,14.966666666666667,12,12
