,eltime
426,3.5058825
427,47.528217
428,188.44632
429,395.45886
430,489.8039
431,497.97812
432,559.2667
433,522.4558
434,426.82242
435,167.08113
436,75.429016
437,9.542822
438,-11.748285
439,-13.225368
440,-8.331406
441,-23.46461
442,-19.1168
443,3.0280044
444,-0.4256905
445,-4.3758626
446,0.8814482
447,-0.5412554
448,0.23113433
449,60.258034
450,68.78456
451,37.16144
452,225.10814
453,373.4419
454,543.72845
455,605.869
456,622.0276
457,623.7325
458,442.70532
459,254.23746
460,117.01549
461,14.053773
462,-7.3069015
463,5.528522
464,3.1277425
465,8.282656
466,3.71689
467,6.4697366
468,4.020679
469,-4.120547
470,2.8914187
471,2.0633576
472,-4.4403377
473,-11.409235
474,2.0307977
475,3.8082924
476,274.2263
477,237.15811
478,591.57794
479,686.96124
480,439.60022
481,665.4263
482,274.23346
483,193.89691
484,66.76561
485,3.560619
486,0.9002262
487,0.12587619
488,0.22771424
489,6.8174176
490,11.062887
491,7.087004
492,-5.933339
493,-1.5423722
494,5.2886868
495,1.7287091
496,2.0056515
497,11.847599
498,-11.463971
499,35.765213
500,188.36165
501,309.01035
502,555.0019
503,654.7154
504,672.693
505,505.17563
506,463.46765
507,186.10423
508,46.505135
509,18.802294
510,-5.7392244
511,-13.675084
512,5.3354435
513,-4.245198
514,2.982187
515,-10.217479
516,-5.7512794
517,-5.1895013
518,5.7623835
519,-3.2904882
520,5.9297767
521,1.1145405
522,-33.780754
523,23.472252
524,396.74548
525,326.05603
526,528.69977
527,540.30493
528,603.3172
529,623.27313
530,427.77853
531,250.71068
532,172.7468
533,17.465828
534,57.625393
535,6.6521244
536,0.11720166
537,14.332999
538,19.152805
539,-11.4797945
540,-8.678875
541,-13.742055
542,-8.859715
543,-7.7438936
544,-6.6918173
545,-6.368234
546,31.666412
547,163.3502
548,335.62308
549,542.184
550,611.54034
551,588.4396
552,500.635
553,521.4168
554,466.76184
555,302.8695
556,83.22678
557,12.271255
558,0.8470551
559,5.159586
560,8.349118
561,-1.8833513
562,-1.5748107
563,-0.96318513
564,-1.3830847
565,5.153768
566,5.371653
567,6.198492
568,11.886692
569,-2.886394
570,52.82942
571,180.59552
572,343.48712
573,617.5822
574,812.7034
575,706.3472
576,688.2871
577,588.65765
578,485.88745
579,255.63132
580,99.30682
581,-19.033943
582,4.854539
583,3.9287758
584,-3.0967255
585,7.1372027
586,-1.5844288
587,-1.4793164
588,5.9279
589,-3.643286
590,4.0415387
591,2.724771
592,0.9743466
593,-3.651363
594,45.461548
595,166.91391
596,425.09543
597,450.64783
598,619.1824
599,799.1585
600,494.27692
601,369.95438
602,385.20004
603,272.38428
604,54.49242
605,8.7924385
606,0.36905676
607,1.7118309
608,-1.9720831
609,2.3577113
610,-5.6475887
611,-5.326519
612,-3.2929244
613,-5.6795325
614,-1.0856172
615,6.9614153
616,13.667048
617,-1.2410346
618,67.32483
619,169.29837
620,473.61664
621,681.8549
622,731.6986
623,507.66394
624,532.3572
625,541.61523
626,390.4099
627,244.58234
628,62.6184
629,21.69056
630,19.571257
631,21.498997
632,14.768977
633,16.818396
634,-5.4045963
635,0.26922798
636,1.7296019
637,0.19440597
638,8.142893
639,4.3552427
640,4.8403153
641,4.434887
642,44.13586
643,185.97705
644,510.57434
645,268.64877
646,613.3434
647,302.51205
648,180.54143
649,127.85467
650,198.39049
651,121.12297
652,44.68965
653,7.2088714
654,-0.42910415
655,-1.7437046
656,-0.038026582
657,9.26203
658,0.14639455
659,3.410482
660,-6.8580675
661,1.4431672
662,1.8542204
663,3.260593
664,12.91858
665,-11.957258
666,37.47081
667,294.11453
668,577.4109
669,422.52414
670,560.53326
671,423.37167
672,428.26367
673,427.1795
674,225.36873
675,209.29718
676,79.32552
677,-1.8581043
678,-0.9664353
679,4.672842
680,9.541848
681,18.72359
682,3.965355
683,0.5175401
684,1.2802331
685,-0.05209916
686,-3.7718694
687,5.8328724
688,6.1109266
689,-0.7338992
690,86.6043
691,201.86423
692,522.3628
693,691.1222
694,774.98224
695,767.1974
696,520.1806
697,454.02606
698,391.9439
699,277.61752
700,60.783897
701,7.318155
702,-2.0442977
703,16.287525
704,-3.4257684
705,13.721315
706,-14.92971
707,1.6577313
708,-8.889972
709,-23.804773
710,-9.437933
711,-0.08344584
712,11.382842
713,-0.0097903535
714,75.43378
715,217.86491
716,546.716
717,714.49115
718,862.82623
719,784.99677
720,621.2628
721,462.8805
722,459.47202
723,298.96753
724,75.368195
725,-4.5621104
726,-7.656201
727,-0.2923545
728,-3.5064175
729,-4.9056916
730,0.51884496
731,-1.2789823
732,-1.2789823
733,4.3341084
734,-0.46483126
735,-0.1947087
736,31.447756
737,44.32267
738,89.27989
739,189.60379
740,339.0021
741,456.85654
742,339.82404
743,734.30194
744,601.5851
745,272.13733
746,216.7849
747,141.24449
748,64.03119
749,11.192372
750,2.9472415
751,2.2505295
752,3.7969706
753,2.934825
754,-1.2468772
755,-2.7271063
756,-1.2165116
757,-8.562827
758,-7.760975
759,0.18568921
760,0.7557754
761,25.103085
762,135.45255
763,303.64688
764,689.4378
765,813.7643
766,867.0418
767,857.1741
768,801.19867
769,547.73395
770,414.802
771,264.8883
772,70.579666
773,-6.944554
774,-2.0443022
775,-15.660728
776,10.160082
777,14.984036
778,-9.727137
779,4.6378584
780,-2.2874808
781,-8.13119
782,-2.2021291
783,6.0411625
784,12.9011345
785,27.051338
786,151.3392
787,361.16605
788,503.49484
789,738.47363
790,534.8474
791,695.0376
792,645.5296
793,546.07404
794,426.7926
795,207.93613
796,93.37942
797,21.58471
798,6.0431376
799,1.6503062
800,15.899227
801,-4.788716
802,-3.681368
803,-6.3433247
804,2.806941
805,9.802271
806,-5.9108267
807,-4.5044537
808,12.031616
809,27.401503
810,196.88971
811,230.56934
812,625.0329
813,403.20728
814,737.6169
815,790.36774
816,778.5351
817,673.27814
818,552.563
819,295.63638
820,156.94531
821,10.372663
822,9.597162
823,23.58247
824,6.9769764
825,8.707429
826,4.611789
827,4.8750477
828,-1.7917591
829,13.071938
830,3.9945476
831,-5.01285
832,-4.854136
833,2.0232282
834,258.88284
835,326.67078
836,647.58154
837,766.8894
838,877.9714
839,817.2277
840,799.2599
841,542.3086
842,473.82227
843,272.39542
844,64.112854
845,-2.6846886
846,4.576631
847,-1.7446738
848,3.4776478
849,-3.1114058
850,-2.3802938
851,3.556026
852,-23.868076
853,2.571267
854,-3.5193076
855,4.123568
856,-0.9008761
857,37.107735
858,144.72142
859,302.99463
860,535.2149
861,675.9921
862,757.37695
863,767.4367
864,679.2637
865,495.37424
866,480.55988
867,274.40765
868,10.893033
869,0.7573816
870,-14.981092
871,-25.779675
872,-9.194453
873,-12.24239
874,3.839209
875,-5.409777
876,-23.637033
877,-16.29833
878,0.19214472
879,-0.6427204
880,-0.9146742
881,109.72893
882,131.69475
883,350.6617
884,487.7323
885,741.10986
886,740.35657
887,853.778
888,773.1147
889,558.8958
890,539.31024
891,260.90662
892,113.66451
893,5.5406485
894,31.005991
895,-4.3917174
896,38.943317
897,45.772438
898,16.136742
899,-1.3218932
900,-30.832785
901,-7.623557
902,-5.012239
903,-2.9462864
904,3.1130087
905,114.59823
906,130.2465
907,371.4957
908,588.32336
909,748.0532
910,859.412
911,864.7927
912,819.06305
913,546.9208
914,546.29315
915,335.64078
916,81.64544
917,48.564846
918,64.93428
919,47.707825
920,51.422226
921,43.305283
922,-90.86471
923,19.59103
924,-0.09335356
925,31.309122
926,-10.146222
927,-22.98131
928,9.75469
929,106.61479
930,169.07231
931,419.19766
932,604.5764
933,768.88007
934,793.7696
935,797.9782
936,782.8873
937,539.04266
938,503.5052
939,268.19168
940,111.002
941,65.64713
942,58.04415
943,50.77645
944,42.127197
945,54.459053
946,9.047676
947,14.010819
948,13.613968
949,-73.46411
950,-39.362534
951,-2.011067
952,-21.00203
953,65.72584
954,112.47871
955,349.0653
956,577.53235
957,714.6354
958,765.7022
959,807.87726
960,753.91797
961,510.10934
962,436.62625
963,298.2185
964,36.84928
965,11.395477
966,2.2894702
967,6.153919
968,26.592375
969,31.93886
970,13.40018
971,0.38682914
972,6.328938
973,5.917585
974,5.6732454
975,-7.21468
976,-7.1954513
977,109.90446
978,114.99164
979,394.92566
980,549.6127
981,733.941
982,814.2034
983,839.00134
984,813.22125
985,617.2416
986,585.34845
987,328.73926
988,125.73026
989,92.211784
990,36.796074
991,6.856587
992,15.742337
993,1.8183036
994,-14.205496
995,-1.6873419
996,-8.944751
997,-15.592168
998,7.8605156
999,-12.172026
1000,17.47107
1001,114.53311
1002,225.11783
1003,382.52383
1004,670.82996
1005,726.08246
1006,866.40686
1007,820.60785
1008,799.08936
1009,542.34326
1010,381.06638
1011,309.19803
1012,92.76071
1013,45.336575
1014,55.61596
1015,56.420143
1016,58.233273
1017,110.52926
1018,-9.01177
1019,-4.7100325
1020,6.6800594
