,sanantonio
431,503.72012
432,563.17316
433,472.86395
434,427.6223
435,272.19052
436,194.9948
437,83.77495
438,80.1368
439,118.85119
440,117.538734
441,120.72193
442,122.90994
443,3.5028217
444,5.8016534
445,9.5452385
446,9.217066
447,12.157882
448,-0.8611274
449,-0.19730657
450,-1.6056861
451,-5.4328556
452,161.77936
453,316.45764
454,456.43146
455,521.08636
456,561.43536
457,564.8433
458,478.61252
459,209.99199
460,139.6156
461,22.917192
462,34.764397
463,13.1742
464,-3.4531512
465,0.29365826
466,-4.2938166
467,-6.3898945
468,-19.182434
469,13.923003
470,-2.1097143
471,-39.288544
472,0.6228751
473,-36.819317
474,-2.2181373
475,-35.476383
476,163.39035
477,501.1882
478,592.70715
479,606.8291
480,695.7353
481,472.50372
482,226.8784
483,80.518585
484,39.689617
485,10.976938
486,-2.5492516
487,0.95458704
488,-0.44159874
489,-13.546
490,-3.7005067
491,-0.6106137
492,0.6611432
493,-2.4076347
494,-0.6061754
495,2.9275043
496,5.7675858
497,0.8525236
498,1.0326871
499,18.986864
500,128.78311
501,181.38232
502,341.4793
503,318.3018
504,207.08052
505,269.8741
506,203.36511
507,81.46988
508,93.99938
509,3.3498845
510,-3.6797147
511,-1.2199197
512,1.9409195
513,3.3522189
514,28.21467
515,-1.6235197
516,-4.066275
517,-4.066275
518,1.613966
519,2.1224864
520,-2.109829
521,-5.3934827
522,9.618206
523,33.220085
524,73.7797
525,316.7107
526,429.0038
527,503.1857
528,544.825
529,546.63495
530,423.2864
531,209.02432
532,163.19572
533,12.206106
534,-13.527883
535,-11.770479
536,-6.2882433
537,-6.148158
538,-2.4936802
539,-0.37128487
540,-5.0116467
541,0.71172345
542,-5.0050025
543,-1.08487
544,7.6706495
545,-4.070595
546,-1.3799613
547,32.278248
548,257.24918
549,454.8434
550,459.22537
551,363.78674
552,448.07806
553,431.88968
554,429.28302
555,194.77144
556,143.93678
557,25.859583
558,-15.530157
559,-1.7584683
560,-21.25407
561,-4.694555
562,-0.8055495
563,-5.953506
564,2.5886765
565,11.702669
566,0.6876574
567,10.400374
568,22.740866
569,-1.0398909
570,-10.715411
571,29.836292
572,298.97018
573,354.23965
574,509.5554
575,546.3428
576,550.5314
577,482.67682
578,458.14444
579,158.46062
580,173.71864
581,28.272596
582,-9.332481
583,11.877923
584,0.11466325
585,6.4453406
586,-7.1434965
587,-4.212656
588,-13.792931
589,8.1314745
590,1.3980821
591,-4.021082
592,5.011677
593,-32.1681
594,-5.835857
595,-12.107499
596,249.91238
597,365.32965
598,499.797
599,519.9399
600,540.7093
601,515.5347
602,392.92496
603,210.42155
604,125.16534
605,21.765347
606,39.627285
607,-2.5060496
608,-26.726637
609,-0.73923993
610,-8.149796
611,-1.9364825
612,6.975755
613,36.60575
614,45.24898
615,9.257846
616,30.498178
617,28.232141
618,19.066977
619,67.25321
620,260.22943
621,459.2133
622,469.17047
623,470.9936
624,583.7862
625,507.54843
626,386.73907
627,170.63461
628,196.81728
629,81.33207
630,-4.7241793
631,10.619366
632,31.56779
633,11.323069
634,8.344092
635,-1.0504925
636,-4.698903
637,4.9477377
638,-7.504766
639,-2.998768
640,-11.754062
641,-9.684903
642,-6.508969
643,61.151566
644,219.01707
645,327.83298
646,371.99036
647,469.30753
648,524.32
649,708.84576
650,426.3787
651,331.82883
652,186.03423
653,28.945356
654,5.9248757
655,10.542502
656,27.090445
657,-3.4201798
658,-22.902239
659,6.996486
660,-8.958844
661,24.435104
662,2.4299128
663,2.394939
664,-5.2172303
665,-13.740617
666,37.98333
667,11.541597
668,248.10164
669,331.70364
670,477.62753
671,575.36865
672,485.93677
673,332.57593
674,238.78825
675,88.134
676,134.93498
677,34.72702
678,-17.571186
679,0.18292293
