time,hum,wind,maxwind,winddir,rain,radiation,temp,Hour,Month
2020-09-16 15:00:00+00:00,46.833333333333336,0.5333333333333333,35.4,133.5,0.0,160.0,25.75,15,9
2020-09-16 16:00:00+00:00,50.666666666666664,1.0666666666666667,35.4,189.16666666666666,0.0,175.33333333333334,24.866666666666664,16,9
2020-09-16 17:00:00+00:00,52.666666666666664,1.8666666666666665,35.4,71.0,0.0,92.16666666666667,24.900000000000002,17,9
2020-09-16 18:00:00+00:00,54.666666666666664,0.0,35.4,134.33333333333334,0.0,38.333333333333336,24.099999999999998,18,9
2020-09-16 19:00:00+00:00,54.666666666666664,0.5333333333333333,35.4,89.16666666666667,0.0,0.8333333333333334,23.416666666666668,19,9
2020-09-16 20:00:00+00:00,55.0,0.8000000000000002,35.4,149.33333333333334,0.0,0.0,23.25,20,9
2020-09-16 21:00:00+00:00,55.333333333333336,0.0,35.4,346.8333333333333,0.0,0.0,23.55,21,9
2020-09-16 22:00:00+00:00,57.166666666666664,2.6666666666666665,35.4,338.3333333333333,0.0,0.0,23.150000000000002,22,9
2020-09-16 23:00:00+00:00,59.166666666666664,4.283333333333333,35.4,336.8333333333333,0.0,0.0,22.71666666666667,23,9
2020-09-17 00:00:00+00:00,60.5,2.1333333333333333,17.7,287.5,0.0,0.0,22.2,0,9
2020-09-17 01:00:00+00:00,67.16666666666667,2.4,17.7,341.8333333333333,0.0,0.0,21.150000000000002,1,9
2020-09-17 02:00:00+00:00,63.833333333333336,1.0666666666666667,17.7,288.0,0.0,0.0,21.266666666666666,2,9
2020-09-17 03:00:00+00:00,67.16666666666667,2.1333333333333333,17.7,341.6666666666667,0.0,0.0,21.150000000000002,3,9
2020-09-17 04:00:00+00:00,82.0,0.26666666666666666,17.7,132.5,0.0,0.0,19.650000000000002,4,9
2020-09-17 05:00:00+00:00,82.33333333333333,0.26666666666666666,17.7,79.0,0.0,0.0,19.366666666666667,5,9
2020-09-17 06:00:00+00:00,87.0,0.26666666666666666,17.7,198.83333333333334,0.0,0.0,18.816666666666666,6,9
2020-09-17 07:00:00+00:00,87.16666666666667,0.26666666666666666,17.7,92.33333333333333,0.0,35.333333333333336,18.633333333333333,7,9
2020-09-17 08:00:00+00:00,85.66666666666667,0.5333333333333333,17.7,282.3333333333333,0.0,140.5,19.3,8,9
2020-09-17 09:00:00+00:00,83.83333333333333,0.0,17.7,166.33333333333334,0.0,327.3333333333333,20.783333333333335,9,9
2020-09-17 10:00:00+00:00,86.0,0.26666666666666666,17.7,287.0,0.0,345.6666666666667,20.566666666666666,10,9
2020-09-17 11:00:00+00:00,83.16666666666667,1.3333333333333333,17.7,171.16666666666666,0.0,601.3333333333334,21.71666666666667,11,9
2020-09-17 12:00:00+00:00,80.66666666666667,1.6000000000000003,17.7,261.6666666666667,0.0,745.0,21.866666666666664,12,9
2020-09-17 13:00:00+00:00,78.16666666666667,1.866666666666667,17.7,195.33333333333334,0.0,847.5,22.433333333333334,13,9
2020-09-17 14:00:00+00:00,79.66666666666667,1.0666666666666667,17.7,241.33333333333334,0.0,552.3333333333334,21.71666666666667,14,9
2020-09-17 15:00:00+00:00,77.66666666666667,1.8666666666666665,17.7,228.83333333333334,0.0,584.6666666666666,21.816666666666666,15,9
2020-09-17 16:00:00+00:00,77.33333333333333,1.0666666666666667,17.7,187.66666666666666,0.0,460.8333333333333,21.433333333333334,16,9
2020-09-17 17:00:00+00:00,83.2,0.9600000000000002,17.7,245.2,0.0,152.4,19.919999999999998,17,9
2020-09-17 18:00:00+00:00,86.16666666666667,0.0,17.7,183.66666666666666,0.0,45.166666666666664,18.966666666666665,18,9
2020-09-17 19:00:00+00:00,87.5,0.0,17.7,240.0,0.0,2.0,18.616666666666667,19,9
