,centrovis-cab
420,-2.982056
421,-10.180787
422,-0.22028214
423,-2.9124796
424,5.9072394
425,2.354293
426,8.616884
427,45.644985
428,282.56335
429,395.36746
430,387.1238
431,436.7095
432,472.44992
433,399.2406
434,459.933
435,220.6999
436,78.426735
437,12.436357
438,-4.8289266
439,-6.555367
440,-11.20848
441,-20.761688
442,-2.1276639
443,3.288259
444,3.9058285
445,1.8224776
446,-10.773322
447,-2.747361
448,-4.685059
449,-2.7828135
450,3.840685
451,12.215468
452,166.38501
453,328.12988
454,604.5747
455,587.2203
456,658.366
457,584.88995
458,475.62534
459,313.9771
460,221.2637
461,24.933928
462,-2.261522
463,1.6880304
464,-7.822591
465,-3.2438073
466,24.426708
467,5.381364
468,-6.9888177
469,-8.356251
470,6.5349727
471,5.2203746
472,-1.7871037
473,-1.7533473
474,-15.647304
475,112.96861
476,233.52655
477,131.92879
478,352.81424
479,356.8568
480,372.0015
481,438.8463
482,319.08218
483,165.29355
484,50.860832
485,15.663691
486,9.912093
487,8.300545
488,11.626154
489,7.206979
490,1.6310755
491,-1.5725099
492,1.6373647
493,1.4498878
494,2.0870981
495,1.9436897
496,2.9625325
497,13.866465
498,-22.323038
499,18.77403
500,111.52031
501,261.56754
502,625.4282
503,803.0828
504,701.5063
505,508.0538
506,520.20593
507,294.1618
508,291.73953
509,1.8012068
510,7.4201446
511,-1.7489882
512,-14.645402
513,-8.194785
514,-19.531109
515,12.158986
516,4.0976825
517,4.0976825
518,19.921991
519,-2.231008
520,-10.276554
521,-2.0942895
522,-0.26816222
523,19.349827
524,170.92421
525,343.00198
526,521.13605
527,624.0422
528,583.44006
529,641.43396
530,490.563
531,371.41504
532,193.34166
533,34.18569
534,-1.3979641
535,-0.15817475
536,6.7031755
537,5.195137
538,3.1650052
539,2.8985462
540,5.568227
541,6.5694594
542,1.0073962
543,8.44254
544,5.236278
545,6.987384
546,2.0013957
547,25.937883
548,194.76166
549,285.70013
550,339.4426
551,454.01324
552,539.0743
553,549.6718
554,438.34256
555,287.73938
556,207.89583
557,14.054053
558,-14.31182
559,6.273891
560,-16.3368
561,-7.0722733
562,-19.92437
563,5.4847274
564,-45.655582
565,-10.522773
566,-10.65379
567,-13.010601
568,9.324781
569,-28.872265
570,15.150432
571,40.246517
572,291.0871
573,323.21597
574,517.4122
575,585.78503
576,632.88776
577,530.59534
578,434.34894
579,299.9874
580,193.98405
581,12.363382
582,-6.7573
583,-12.611323
584,-11.901391
585,-1.8821648
586,-18.064667
587,-4.813828
588,-3.9962487
589,-14.834513
590,-5.8485
591,-2.6011899
592,-2.4250453
593,1.0511339
594,-15.340058
595,60.43089
596,296.9737
597,432.86115
598,511.92746
599,582.5005
600,634.592
601,497.1018
602,453.551
603,236.03354
604,174.38988
605,-7.566155
606,-28.561749
607,-24.533903
608,2.4005089
609,-18.313103
610,-11.253236
611,-1.1689297
612,0.41106522
613,-2.0650985
614,-31.840141
615,-4.396435
616,-5.440491
617,-92.81071
618,6.6281037
619,-63.470848
620,184.47278
621,335.41037
622,499.87158
623,573.43024
624,497.44357
625,599.52936
626,458.4544
627,274.85358
628,153.35498
629,7.7760634
630,-8.66643
631,-11.659799
632,-15.582614
633,-40.429924
634,21.236513
635,-3.4749432
636,-0.051254444
637,2.7984324
638,-2.1815052
639,-3.1649203
640,-0.87519974
641,-6.929775
642,-23.090385
643,73.98072
644,235.58546
645,334.93347
646,480.2699
647,655.1794
648,647.4767
649,652.1282
650,479.5733
651,299.6314
652,186.37456
653,30.753384
654,14.585814
655,-3.7149107
656,-20.148546
657,6.361542
658,15.439697
659,-16.773834
660,-5.4128284
661,-4.454472
662,11.679461
663,-3.684938
664,-7.8486667
665,0.47096238
666,10.517357
667,77.84113
668,234.73524
669,427.7514
670,583.2795
671,640.1806
672,649.73566
673,559.1706
674,434.69635
675,205.19615
676,155.20187
677,32.446587
678,4.814213
679,-18.851875
680,-25.642862
681,-9.72238
682,-14.53406
683,-15.825025
684,-4.7644463
685,-4.1411
686,-8.747667
687,6.546292
688,-2.0967393
689,3.1867552
690,13.236026
691,58.057545
692,169.04092
693,347.7913
694,623.25256
695,562.97015
696,640.27325
697,578.7509
698,379.85312
699,249.33665
700,323.8229
701,4.829257
702,-9.9123535
703,0.5277553
704,1.5943501
705,1.3797883
706,-2.5948358
707,6.321413
708,-1.8259747
709,8.321064
710,0.43375057
711,0.8999308
712,2.5523884
713,6.2799416
714,-12.246831
715,55.111008
716,206.44702
717,394.45807
718,453.6355
719,517.4966
720,612.16705
721,504.02847
722,388.94556
723,104.075386
724,241.75601
725,21.257742
726,5.017354
727,14.732131
728,9.226591
729,1.8116866
730,0.8306399
731,-3.0785372
732,0.69438034
733,-3.802375
734,-14.163131
735,-10.266918
736,-25.127764
737,-19.95225
