,balsa-adeyaham
450,37.632057
451,97.311905
452,93.7955
453,63.07456
454,22.433847
455,29.944155
456,49.95347
457,43.36579
458,27.266478
459,229.1255
460,459.97446
461,624.5242
462,774.5975
463,1043.1671
464,987.5883
465,987.0742
466,896.7708
467,832.421
468,577.2881
469,383.6626
470,187.76855
471,106.667656
472,21.485746
473,72.216995
474,119.922134
475,153.20439
476,108.94698
477,86.570435
478,43.953777
479,64.77719
480,97.23643
481,119.254456
482,129.48424
483,165.7816
484,461.36133
485,705.1853
486,797.7058
487,799.0741
488,810.74854
489,822.5356
490,785.6088
491,642.652
492,498.88977
493,343.04382
494,206.13792
495,155.40367
496,146.69809
497,125.81132
498,65.61651
499,146.9192
500,77.8651
501,134.73384
502,143.94727
503,149.88156
504,70.11026
505,78.78523
506,159.14029
507,230.673
508,500.21808
509,618.81696
510,832.03613
511,838.1066
512,812.539
513,955.71735
514,915.8894
515,714.918
516,542.4819
517,292.2621
518,165.08319
519,146.84937
520,107.40191
521,95.6484
522,95.15818
523,67.52026
524,28.800894
525,29.657734
526,21.660978
527,92.70473
528,66.64576
529,37.489086
530,88.78549
531,239.57584
532,343.8829
533,645.90826
534,789.7668
535,984.3986
536,998.31885
537,846.8273
538,870.5782
539,724.56494
540,591.2514
541,382.63565
542,158.10841
543,51.31233
544,51.452126
545,74.70778
546,91.87421
547,35.828487
548,92.517265
549,52.590725
550,43.301968
551,38.509563
552,64.11016
553,14.385482
554,77.80468
555,146.42072
556,333.41232
557,608.6234
558,752.56714
559,966.4543
560,951.41675
561,961.3916
562,836.303
563,710.0391
564,566.2548
565,343.09317
566,162.0114
567,146.47139
568,103.02573
569,55.107758
570,63.750698
571,97.75826
572,45.8585
573,70.403824
574,9.298721
575,70.14211
576,99.73539
577,99.997795
578,61.531704
579,203.64737
580,368.3363
581,635.06415
582,698.03436
583,845.74786
584,952.2778
585,952.6377
586,871.97015
587,838.51544
588,594.2708
589,353.5597
590,163.68066
591,126.16751
592,143.32532
593,82.97393
594,123.75646
595,143.27042
596,146.11697
597,134.40929
598,134.80682
599,189.49124
600,183.49715
601,185.00946
602,189.26103
603,239.68336
604,439.93408
605,647.53687
606,842.0922
607,918.6232
608,972.88654
609,1023.6207
610,932.2774
611,819.9483
612,702.8659
613,544.3066
614,179.13034
615,77.78141
616,102.142006
617,73.37219
618,94.18401
619,95.627785
620,137.49524
621,102.75496
622,143.51732
623,119.4487
624,106.01879
625,90.61286
626,71.04948
627,181.63562
628,356.86438
629,520.2059
630,699.2786
631,554.6621
632,529.9852
633,528.0976
634,435.3454
635,331.19147
636,397.7614
637,184.70674
638,116.738174
639,98.82896
640,146.1926
641,73.2227
642,55.579052
643,72.004654
644,31.206535
645,17.050327
646,74.32762
647,86.665565
648,127.58265
649,146.05208
650,159.076
651,187.26027
652,349.2603
653,629.9605
654,750.17816
655,907.72485
656,911.764
657,962.4185
658,857.98676
659,723.17523
660,690.7169
661,508.79858
662,232.22754
663,113.840935
664,121.29803
665,84.34317
666,26.478748
667,81.88735
668,59.10414
669,125.400055
670,109.326324
671,102.95163
672,111.53989
673,54.798386
674,155.81311
675,157.46858
676,326.95584
677,608.67865
678,904.3954
679,993.3148
680,989.56604
681,974.9218
682,842.3205
683,846.6373
684,733.1109
685,541.2376
686,142.08798
687,130.09512
688,148.1749
689,82.61145
690,80.78342
691,102.85925
692,256.30563
693,195.34753
694,147.95326
695,126.74935
696,124.64232
697,86.04358
698,84.75461
699,157.9783
700,423.26465
701,604.1623
702,853.6217
703,957.01166
704,996.41644
705,997.48413
706,920.5146
707,803.8532
708,612.8282
709,441.01102
710,237.96327
711,146.33832
712,118.79886
713,107.84355
714,94.932274
715,84.3946
716,97.806
717,54.346695
718,103.91734
719,59.048756
720,109.48758
721,86.78928
722,91.11731
723,120.69016
724,549.40045
725,637.75726
726,845.36395
727,998.5036
728,1001.54407
729,1020.6434
730,966.3724
731,836.2956
732,493.9622
733,359.2371
734,191.05708
735,135.3216
736,121.98293
737,118.32381
738,137.08
739,105.54489
740,105.676445
741,84.055695
742,112.79191
743,114.78167
744,94.82544
745,29.390005
746,112.290794
747,270.37085
748,470.80606
749,743.4689
750,867.05676
751,950.27026
752,978.19965
753,971.03033
754,896.3818
755,813.7543
756,689.3458
757,549.11536
758,197.31334
759,156.59798
760,142.65092
761,82.84723
762,120.591446
763,111.74131
764,67.355515
765,30.580963
766,45.769276
767,-1.8226818
768,7.9188304
769,8.706782
770,66.47929
771,69.33925
772,333.26395
773,525.23047
774,813.0918
775,917.7599
776,971.077
777,943.4315
778,901.72754
779,728.0046
780,478.00836
781,333.1231
782,153.22466
783,118.56168
784,72.21562
785,59.586765
786,48.131092
787,66.51483
788,44.374638
789,29.011545
790,30.256538
791,23.94838
792,1.6284099
793,16.971231
794,63.464214
795,64.42843
796,306.11014
797,633.4813
798,731.341
799,922.5024
800,998.3924
801,990.11273
802,886.1657
803,826.462
804,605.91125
805,409.15723
806,174.98679
807,107.38733
808,79.34575
809,58.881107
810,69.83878
811,44.217773
812,1.9960166
813,-6.35407
814,47.18693
815,38.43388
816,52.064037
817,58.544476
818,38.221725
819,159.30867
820,380.6867
821,618.1381
822,828.2673
823,897.38574
824,967.7455
825,925.6994
826,625.3958
827,625.8118
828,528.4839
829,186.16434
830,48.705135
831,103.4892
832,73.16177
833,38.41375
834,94.65362
835,46.984383
836,35.180637
837,14.28696
838,36.03594
839,1.769326
840,47.43156
841,13.974698
842,14.895758
843,177.74977
844,356.30725
845,526.7624
846,803.99994
847,854.2573
848,797.18475
849,919.1378
850,799.80396
851,755.519
852,592.2369
853,392.0478
854,115.34556
855,60.164917
856,32.81746
857,30.263416
858,2.4474204
859,36.17039
860,30.042446
861,3.939543
862,8.16794
863,12.696039
864,-0.014348738
865,12.194956
866,48.5207
867,96.987335
868,308.65714
869,658.5208
870,758.4399
871,959.3429
872,920.3216
873,982.42804
874,867.902
875,759.8918
876,568.56995
877,400.0428
878,131.72017
879,92.93674
880,48.00962
881,60.25002
882,109.92725
883,46.869854
884,29.721968
885,37.073414
886,6.4506745
887,-3.818924
888,36.373703
889,11.287726
890,15.411957
891,127.56912
892,313.6852
893,591.89886
894,841.94464
895,1020.0889
896,984.5527
897,975.6188
898,913.70264
899,794.53815
900,576.1325
901,426.095
902,142.2297
903,70.9144
904,46.00015
905,28.876232
906,53.177113
907,66.13581
908,100.703926
909,94.88382
910,75.16593
911,137.78276
912,21.511166
913,3.4559245
914,63.005127
915,101.55863
916,317.3942
917,708.1905
918,700.4356
919,771.7209
920,725.0022
921,844.2825
922,684.36395
923,786.7678
924,579.67267
925,306.88242
926,160.94775
927,74.9908
928,36.076458
929,64.27288
930,47.534306
931,54.715694
932,29.99617
933,11.191775
934,33.33722
935,22.17657
936,27.026855
937,20.239626
938,21.263134
939,144.30841
940,340.9015
941,564.1168
942,791.37897
943,908.31085
944,981.58075
945,982.7674
946,920.20056
947,843.86816
948,642.3458
949,330.79117
950,142.84435
951,71.69571
952,88.44773
953,54.06672
954,44.036686
955,45.754105
956,31.231764
957,16.740105
958,25.85054
959,20.781494
960,7.511274
961,42.166824
962,39.431747
963,109.52729
964,272.8952
965,574.6565
966,797.0546
967,897.91266
968,959.5634
969,986.4698
970,914.62067
971,778.8593
972,671.5779
973,472.5013
974,157.84158
975,79.9375
976,34.653156
977,-7.6877937
978,6.118675
979,2.2393782
980,2.6277332
981,4.337964
982,17.298645
983,21.99509
984,8.90772
985,20.164553
986,19.503544
987,144.05026
988,411.10437
989,633.92993
990,807.2052
991,866.3397
992,985.5923
993,983.53564
994,898.54407
995,837.2157
996,627.4046
997,474.21603
998,105.26044
999,111.665596
1000,65.75492
1001,52.769764
1002,66.72171
1003,19.79999
1004,15.701193
1005,73.51591
1006,48.14664
1007,37.744797
1008,69.791275
1009,15.8042965
1010,53.097385
1011,174.61775
1012,309.68
1013,618.38983
1014,844.3905
1015,992.4404
1016,1007.52466
1017,998.57135
1018,915.7444
1019,835.80853
1020,721.3247
1021,518.88916
1022,155.51086
1023,11.861215
1024,50.65707
1025,63.385925
1026,66.71473
1027,70.295494
1028,104.65755
1029,53.33304
1030,40.495625
1031,75.41578
1032,71.80989
1033,8.391946
1034,81.51418
1035,152.13814
1036,302.77438
1037,530.8018
1038,820.2389
1039,928.84607
1040,969.14343
1041,956.19055
1042,897.46075
1043,796.4554
1044,574.0438
1045,378.63843
1046,124.78539
1047,94.313965
1048,77.420975
1049,80.71611
1050,74.91847
1051,73.37766
1052,145.56862
1053,79.59679
1054,91.74066
1055,91.51096
1056,39.3879
1057,69.79923
1058,104.93446
1059,105.08516
1060,413.87418
1061,562.89197
1062,842.4192
1063,965.6062
1064,928.0272
1065,963.2784
1066,906.0256
1067,827.9797
1068,585.7461
1069,489.66266
1070,151.67188
1071,84.452065
1072,63.03648
1073,68.17802
1074,58.243942
1075,50.271446
1076,89.1741
1077,107.999405
1078,73.010216
1079,108.78318
1080,105.6225
1081,42.6834
1082,51.43911
1083,134.62547
1084,164.99423
1085,650.3258
1086,758.59674
1087,972.7894
1088,842.3414
1089,870.17426
1090,789.5085
1091,656.5157
1092,520.4056
1093,420.33405
1094,69.38124
1095,55.0962
1096,93.588936
1097,47.789288
1098,67.4573
1099,73.37951
1100,7.4732003
1101,92.7012
1102,93.66071
1103,67.23235
1104,104.09137
1105,4.90909
1106,80.80619
1107,155.86989
1108,309.27063
1109,564.3116
1110,901.05975
1111,934.76587
1112,1002.2793
1113,978.57715
1114,870.5549
1115,683.6088
1116,495.26733
1117,264.12848
1118,181.63644
1119,140.35925
1120,121.94399
1121,69.54555
1122,96.39472
1123,50.496807
1124,-47.214928
1125,25.27087
1126,29.036566
1127,49.319084
1128,24.050104
1129,-49.32928
1130,-4.9972196
1131,66.45643
1132,367.62918
1133,583.43115
1134,765.2143
1135,1050.9507
1136,976.8537
1137,811.0942
1138,536.4547
1139,452.27493
1140,353.5701
1141,265.38065
1142,120.457634
1143,-34.385166
1144,-2.915195
1145,-16.489605
1146,-9.052213
1147,8.542141
1148,36.36496
1149,83.54631
1150,34.815132
1151,2.9717913
1152,70.42687
1153,3.5172477
1154,37.387466
1155,123.57302
1156,187.71753
1157,397.58136
1158,350.14517
1159,570.66974
1160,707.9618
1161,422.11295
1162,634.29333
1163,762.5913
1164,533.6427
1165,203.67758
1166,128.20837
1167,52.575214
1168,1.101342
1169,42.340645
1170,51.69708
1171,22.553823
1172,-13.297408
1173,17.51994
1174,-22.618727
1175,-21.236107
1176,-44.194523
1177,49.416748
1178,59.90957
1179,150.95895
1180,344.23087
1181,579.5197
1182,798.8568
1183,959.5758
1184,948.3564
1185,917.134
1186,660.85364
1187,719.0717
1188,585.84076
1189,478.53412
1190,161.9709
1191,61.583538
1192,51.456085
1193,76.854645
1194,68.90838
1195,45.224045
1196,67.99478
1197,107.33269
1198,29.961472
1199,124.08374
1200,93.20718
1201,119.437164
1202,73.44567
1203,153.77406
1204,399.53085
1205,579.93994
1206,883.6968
1207,1007.9969
1208,1016.92847
1209,958.2277
1210,861.1268
1211,724.99664
1212,679.90027
1213,458.59744
1214,131.19525
1215,90.89771
1216,33.9139
1217,65.728
1218,82.36302
1219,8.498636
1220,29.402218
1221,56.074474
1222,71.922066
1223,-8.537061
1224,32.559196
1225,14.354732
1226,2.5333085
1227,90.73936
1228,416.09683
1229,602.4229
1230,913.7254
1231,950.24805
1232,984.5291
1233,1004.1339
1234,870.4751
1235,828.9309
1236,631.38965
1237,476.06842
1238,148.76114
1239,96.87293
1240,59.397453
1241,31.868849
1242,50.539516
1243,42.468204
1244,58.797405
1245,66.49905
1246,64.43463
1247,64.10005
1248,52.685688
1249,101.81493
1250,89.16391
1251,186.2058
1252,394.564
1253,590.7033
1254,816.47235
1255,933.96063
1256,980.33777
1257,947.8724
1258,895.8363
1259,787.33997
1260,663.06384
1261,456.0905
1262,100.996475
1263,86.100006
1264,47.58883
1265,43.766113
1266,45.17845
1267,51.694763
1268,55.6182
1269,95.606735
1270,59.311954
1271,99.067726
1272,94.27232
1273,62.43747
1274,76.695366
1275,181.07806
1276,431.1851
1277,647.8007
1278,794.6639
1279,762.6854
1280,822.7993
1281,903.3239
1282,846.3658
1283,690.7487
1284,516.05634
1285,417.29028
1286,105.347595
1287,45.613167
1288,14.430567
1289,16.448912
1290,-2.807598
1291,26.771744
1292,92.33026
1293,113.4972
1294,68.723076
1295,60.108025
1296,39.211617
1297,15.460106
1298,51.03973
1299,127.867195
1300,386.22952
1301,464.7129
1302,825.0904
1303,747.1481
1304,767.90344
1305,659.9702
1306,514.72034
1307,431.1506
1308,496.20084
1309,361.79224
1310,37.6538
1311,18.336834
1312,17.407536
1313,26.446365
1314,87.127304
1315,44.173782
1316,65.454384
1317,34.90858
1318,70.137184
1319,84.2954
1320,66.831635
1321,85.16769
1322,73.515945
1323,227.90189
1324,434.22296
1325,573.3845
1326,920.6556
1327,896.7897
1328,836.09216
1329,680.3914
1330,612.9571
1331,786.17786
1332,683.2337
1333,496.08212
1334,85.061386
1335,45.156628
1336,5.085933
1337,-46.235657
1338,9.010436
1339,55.552177
1340,84.17966
1341,49.92919
1342,129.44145
1343,96.51894
1344,101.50089
1345,35.09567
1346,159.29803
1347,292.6385
1348,260.17947
1349,474.845
1350,524.99603
1351,611.64557
1352,592.3215
1353,593.68164
1354,574.2541
1355,509.7204
1356,466.788
1357,399.88455
1358,131.76703
1359,61.591377
1360,80.08743
1361,46.414955
1362,102.267044
1363,56.96519
1364,126.928696
1365,111.00033
1366,94.40988
1367,166.937
1368,108.462494
1369,103.69507
1370,191.93665
1371,144.26556
1372,210.24217
1373,548.2748
1374,765.03033
1375,889.67053
1376,960.2858
1377,956.74725
1378,869.5014
1379,787.3618
1380,615.445
1381,396.0598
1382,4.20694
1383,34.85116
1384,-31.991299
1385,22.268238
1386,83.09404
1387,24.83154
1388,-1.1568755
1389,-11.558256
1390,5.853643
1391,15.660003
1392,22.973845
1393,50.15026
1394,39.32327
1395,149.99915
1396,258.2329
1397,532.21063
1398,805.5172
1399,1009.9903
1400,953.7942
1401,976.95135
1402,799.46625
1403,775.88574
1404,687.41016
1405,391.63318
1406,103.95411
1407,52.968483
1408,43.79668
1409,60.571198
1410,77.92146
1411,28.143532
1412,108.65186
1413,92.44338
1414,83.92025
1415,126.462975
1416,128.94781
1417,90.17418
1418,134.83649
1419,229.61687
1420,364.70242
1421,609.33594
1422,815.9401
1423,900.454
1424,1028.7825
1425,1017.79065
1426,940.98694
1427,808.73395
1428,735.42084
1429,477.81552
1430,120.03447
1431,111.95762
1432,75.65277
1433,51.10054
1434,76.73559
1435,56.95376
1436,66.35754
1437,25.872326
1438,82.98638
1439,85.65945
1440,114.68317
1441,98.74102
1442,96.60468
1443,124.52122
1444,244.56009
1445,519.3411
1446,818.7903
1447,932.9087
1448,704.43384
1449,995.3694
1450,875.2253
1451,820.3485
1452,567.1414
1453,245.06833
1454,74.383095
1455,85.641815
1456,62.25962
1457,52.220383
1458,99.99772
1459,51.698483
1460,59.769085
1461,9.167849
1462,48.076538
1463,58.775116
1464,-4.7141137
1465,-9.9514885
1466,62.61612
1467,145.91763
1468,266.5372
1469,530.4472
1470,786.0787
1471,957.9821
1472,926.0849
1473,982.2063
1474,863.0259
1475,782.7204
1476,9.656499
1477,-28.910654
1478,50.25731
1479,90.69322
1480,321.5543
1481,620.3497
1482,797.2163
1483,939.28516
1484,927.74097
1485,881.08124
1486,919.40765
1487,806.8172
1488,571.1908
1489,411.51282
1490,165.91624
1491,85.41901
1492,25.022108
1493,69.23652
1494,9.054923
1495,58.402454
1496,21.128193
1497,-6.1649847
1498,-27.655138
1499,21.493795
1500,-12.289175
1501,18.600107
1502,71.06132
1503,79.46674
1504,242.574
1505,535.466
1506,723.67596
1507,885.2511
1508,927.6504
1509,957.074
1510,887.1015
1511,757.0507
1512,593.6135
1513,474.67572
1514,114.14441
1515,32.526928
1516,56.88006
1517,54.996365
1518,75.0822
1519,39.822174
1520,26.843393
1521,22.910418
1522,8.738953
1523,8.914805
1524,7.344754
1525,28.371338
1526,41.423916
1527,63.583824
1528,252.2814
1529,557.13214
1530,768.7702
1531,967.46344
1532,979.7609
1533,913.2895
1534,868.64514
1535,824.8137
1536,687.9563
1537,521.915
1538,170.25453
1539,91.8119
1540,76.19492
1541,46.030132
1542,29.291351
1543,47.573994
1544,8.851101
1545,1.1203927
1546,11.170058
1547,34.200077
1548,31.429577
1549,20.846832
1550,83.36622
1551,299.02188
1552,563.91785
1553,734.82477
1554,918.56555
1555,951.2446
1556,947.97974
1557,874.68164
1558,786.42236
1559,637.33136
1560,507.34647
1561,124.56084
1562,82.68106
1563,77.20353
1564,65.18432
1565,59.15467
1566,42.73633
1567,20.256474
1568,58.78655
1569,46.35821
1570,7.019847
1571,3.9394264
1572,7.6082187
1573,21.380785
1574,104.53391
1575,406.06125
1576,578.24396
1577,783.5159
1578,911.232
1579,944.9691
1580,895.8002
1581,951.9245
1582,757.09937
1583,558.198
1584,473.23572
1585,126.36454
1586,43.292
1587,-6.5041747
1588,84.93361
1589,46.77409
1590,17.86064
1591,38.01857
1592,37.77542
1593,71.5715
1594,67.91108
1595,104.08976
1596,88.178535
1597,101.44834
1598,97.95502
1599,345.70206
1600,559.83795
1601,776.0562
1602,920.30743
1603,907.663
1604,972.14026
1605,834.8335
1606,769.1318
1607,674.1303
1608,395.31927
1609,145.66241
1610,35.207138
1611,13.592145
1612,43.703934
1613,24.424412
1614,45.47136
1615,-1.3959532
1616,13.08621
1617,6.2934427
1618,73.48973
1619,10.040688
1620,51.207333
1621,69.88198
1622,125.69818
1623,279.88086
1624,618.5368
1625,784.7152
1626,956.3012
1627,987.9204
1628,983.3102
1629,961.413
1630,810.8249
1631,546.4571
1632,431.8464
1633,143.38446
1634,86.96101
1635,35.684917
1636,55.316364
1637,76.78835
1638,75.42709
1639,55.731255
1640,24.207047
1641,32.582047
1642,25.736193
1643,45.649685
1644,36.14656
1645,95.45723
1646,73.22672
1647,268.38528
1648,574.80914
1649,705.2516
1650,921.04004
1651,907.30054
1652,963.98773
1653,785.16345
1654,788.8292
1655,629.14795
1656,450.96692
1657,131.73125
1658,29.269053
1659,82.50134
1660,44.646614
1661,-0.39553034
1662,-20.051922
1663,67.44185
1664,114.310936
1665,126.22827
1666,108.53644
1667,33.41911
1668,45.373146
1669,-3.0307198
1670,83.60693
1671,138.37851
1672,447.1649
1673,415.0355
1674,435.56628
1675,361.20526
1676,799.3306
1677,847.3841
1678,695.2739
1679,721.6801
1680,561.71906
1681,134.54074
1682,118.62996
1683,119.408905
1684,87.08083
1685,70.63385
1686,39.95731
1687,43.929558
1688,66.75858
1689,51.979527
1690,22.178228
1691,96.10957
1692,49.418194
1693,85.73961
1694,138.35147
1695,531.31384
1696,646.385
1697,845.87775
1698,1011.2166
1699,855.33777
1700,989.19073
1701,740.2603
1702,867.6259
1703,679.08435
1704,491.7022
1705,145.81284
1706,62.701004
1707,34.138287
1708,42.650097
1709,37.125843
1710,74.0963
1711,16.632696
1712,29.681982
1713,64.87113
1714,30.291523
1715,29.9494
1716,41.623325
1717,-0.60432005
1718,115.28481
1719,320.9849
1720,604.67126
1721,728.9427
