,helipuerto
426,-9.38924
427,-8.489679
428,57.659176
429,214.6988
430,404.7982
431,622.4706
432,686.09326
433,665.72955
434,593.3842
435,463.03702
436,276.82663
437,232.21568
438,42.75964
439,12.068722
440,8.030027
441,13.552598
442,-4.2350535
443,14.821541
444,-3.8598044
445,-3.8636272
446,11.427602
447,8.189687
448,-10.880903
449,-23.802677
450,-9.51422
451,4.241075
452,10.272503
453,349.69437
454,456.87152
455,482.99918
456,648.60254
457,638.7976
458,607.01953
459,455.19083
460,314.16843
461,224.89578
462,47.6868
463,-3.6803598
464,6.2751026
465,11.424265
466,-1.3464994
467,-7.593606
468,-3.0019593
469,5.5471034
470,-3.0485947
471,73.684364
472,7.794784
473,2.797816
474,1.7369331
475,13.721177
476,24.268457
477,235.69351
478,526.04816
479,630.85156
480,673.9247
481,604.0139
482,589.9362
483,518.92255
484,363.39352
485,187.82982
486,34.090847
487,-30.450169
488,17.32216
489,96.001816
490,9.287853
491,10.592065
492,3.132656
493,-0.26075986
494,5.56706
495,2.9777913
496,11.10373
497,-0.58828825
498,7.877286
499,10.644037
500,58.291096
501,453.0319
502,578.7607
503,338.66248
504,612.5234
505,731.59784
506,581.4855
507,450.53308
508,265.24808
509,302.29855
510,77.83056
511,81.01712
512,68.67443
513,57.200203
514,-0.5710798
515,18.850195
516,48.64737
517,61.606762
518,-5.355479
519,139.6775
520,41.982395
521,-28.721529
522,27.102592
523,0.21689758
524,134.65132
525,286.5706
526,487.4257
527,591.29193
528,679.06433
529,725.25024
530,697.491
531,515.78357
532,299.82526
533,220.14455
534,59.18161
535,70.33297
536,-8.947213
537,1.5320604
538,-21.001514
539,12.861208
540,-27.3447
541,-16.237305
542,-0.8215749
543,-9.807109
544,-3.0392458
545,-74.08898
546,2.7465587
547,4.647552
548,28.735363
549,217.40903
550,433.44876
551,607.1734
552,651.9854
553,642.2689
554,610.53546
555,432.49557
556,260.55673
557,176.54095
558,61.482857
559,-26.279434
560,-26.883999
561,-8.847121
562,-36.405376
563,5.8596454
564,15.079517
565,-9.005347
566,-0.037052743
567,-0.44207707
568,1.4139432
569,-13.787335
570,-7.0189867
571,-68.598854
572,9.949532
573,312.12692
574,500.22342
575,601.9314
576,725.8206
577,700.3817
578,687.04663
579,438.57675
580,258.90933
581,210.59125
582,38.487923
583,-5.7629886
584,13.17247
585,20.769703
586,62.422062
587,16.893038
588,-7.6362762
589,-16.907652
590,-15.245675
591,13.424307
592,-11.615866
593,-0.98237246
594,0.9415707
595,-1.5165905
596,59.77339
597,264.67728
598,489.83716
599,631.2792
600,690.2167
601,702.38635
602,602.8496
603,426.9218
604,273.3059
605,204.66841
606,39.52597
607,-0.9726504
608,6.6325417
609,4.006926
610,-17.003586
611,5.7257643
612,-5.643696
613,-0.76730067
614,-0.73190206
615,-1.356675
616,-3.6678066
617,-2.563581
618,5.3056555
619,-26.321308
620,18.46571
621,229.71513
622,394.94077
623,546.0524
624,617.6097
625,700.94977
626,600.7869
627,469.85736
628,336.43436
629,246.51212
630,50.02328
631,53.3835
632,12.54051
633,-2.8059142
634,-0.15168339
635,-4.3374457
636,4.7324104
637,1.6550761
638,4.3965044
639,79.133575
640,-14.94332
641,1.428284
642,16.876503
643,3.2687254
644,28.913113
645,297.70013
646,576.55426
647,629.9259
648,723.34314
649,690.7405
650,634.73206
651,564.08185
652,320.07343
653,147.46599
654,30.713524
655,66.379364
656,32.04131
657,28.979164
658,90.444405
659,-39.969048
660,-19.376354
661,-5.020446
662,-6.1227245
663,4.2813225
664,3.7757597
665,3.5040224
666,3.2536469
667,18.52823
668,50.6637
669,207.51407
670,545.68176
671,699.4913
672,737.35596
673,668.52844
674,521.59467
675,481.36722
676,298.25934
677,209.0734
678,96.65161
679,11.11284
680,2.8590982
681,-5.3826976
682,-4.5388446
683,-3.302287
684,-2.6510293
685,-9.796491
686,0.89315575
687,-3.735634
688,-7.7746077
689,5.1687107
690,-4.5095716
691,-0.3895338
692,33.29868
693,281.62512
694,536.2556
695,669.9618
696,693.39996
697,656.91516
698,593.50244
699,490.90894
700,375.14655
701,235.56148
702,95.32847
703,38.47002
704,21.723772
705,10.03726
706,1.666458
707,-10.500925
708,236.66982
709,27.830086
710,-8.86598
711,154.06718
712,-41.012875
713,-9.079255
714,35.269714
715,11.946159
716,83.04232
717,290.72446
718,571.66943
719,642.6267
720,743.01294
721,655.77026
722,685.74866
723,484.80316
724,268.8017
725,248.00772
726,21.529034
727,96.14496
728,29.279495
729,77.85978
730,-9.78747
731,-15.687172
732,41.47394
733,0.26053703
734,-23.996092
735,26.951754
736,-2.9333735
737,-0.24350727
738,2.521013
739,7.1308775
740,41.539356
741,335.53613
742,529.0904
743,639.3166
744,649.602
745,645.8526
746,580.0387
747,491.20926
748,325.25894
749,232.68842
750,54.317863
751,84.834854
752,-10.10437
753,-14.37961
754,-6.7530184
755,3.8051872
756,-3.1722152
757,-1.8644961
758,-2.7669933
759,-0.7618783
760,-3.0988574
761,3.3966982
762,7.0119214
763,19.02735
764,111.76966
765,380.98743
766,501.33694
767,609.27313
768,682.96985
769,739.4286
770,738.60583
771,561.13116
772,341.94498
773,281.52573
774,144.60738
775,42.580517
776,65.63242
777,9.361703
778,6.438152
779,0.15070179
780,33.473827
781,8.887948
782,4.487297
783,1.309649
784,-0.8490972
785,10.591888
786,14.636293
787,9.134768
788,51.5726
789,268.73956
790,489.60797
791,634.1431
792,692.9744
793,679.21216
794,650.6658
795,486.80594
796,332.8487
797,268.97745
798,40.860146
799,-17.023153
800,-1.4344659
801,2.6279304
802,5.1104565
803,1.9011747
804,-11.571046
805,-11.539006
806,-12.90921
807,-13.96793
808,0.7740272
809,47.318058
810,35.90214
811,10.099402
812,87.827736
813,293.11325
814,504.3228
815,667.65656
816,670.9246
817,689.72455
818,655.23553
819,425.80075
820,248.08357
821,200.0559
822,31.001549
823,13.354469
824,-8.27314
825,-7.326864
826,51.140064
827,-4.762043
828,22.869944
829,2.3469393
830,14.128097
831,27.73511
832,12.009301
833,14.752748
834,-4.6199446
835,42.6111
836,109.74774
837,379.46524
838,486.39127
839,493.75684
840,372.71567
841,340.06393
842,220.40018
843,290.63773
844,303.18924
845,332.5288
846,39.848484
847,-1.1474715
848,11.1106205
849,5.5101504
850,4.830657
851,11.355195
852,-1.1361185
853,-11.539247
854,-9.228372
855,4.8024073
856,1.7067158
857,13.8656025
858,-1.0389805
859,5.8066964
860,46.727093
861,296.68182
862,439.28088
863,605.527
864,628.50854
865,554.6659
866,521.55096
867,480.91583
868,290.0601
869,260.85278
870,51.94129
871,-5.891442
872,20.571823
873,9.753915
874,-19.16664
875,19.093056
876,3.7419178
877,-5.2939396
878,1.0098174
879,-2.8115864
880,-13.309402
881,-28.51148
882,2.306713
883,3.3529596
884,60.954105
885,242.55362
886,469.466
887,714.8605
888,692.8544
889,700.3142
890,620.0763
891,504.18817
892,307.7214
893,241.43918
894,45.134827
895,30.825653
896,-28.683836
897,-7.4994884
898,-33.35314
899,-4.707063
900,-5.6403437
901,-2.7382278
902,-7.657545
903,-24.19984
904,-0.61824334
905,-6.428605
906,-0.5134774
907,1.6422747
908,20.636078
909,200.04622
910,439.90485
911,650.8001
912,663.6706
913,712.49866
914,615.434
915,434.49237
916,345.6167
917,262.71936
918,43.975574
919,-10.920115
920,4.2291727
921,-3.4687963
922,-7.98382
923,1.7855345
924,-14.367603
925,-15.605294
926,15.90899
927,-2.5845752
928,5.131214
929,-1.5561635
930,4.5058894
931,4.8743124
932,38.67526
933,308.45074
934,405.69522
935,661.6273
936,692.5874
937,662.15967
938,576.2268
939,487.14127
940,333.7638
941,225.68242
942,136.41959
943,71.9245
944,58.492737
945,6.3465805
946,114.27095
947,62.231186
948,26.660597
949,7.844717
950,9.806099
951,18.310345
952,36.894733
953,14.273324
954,29.232653
955,179.5839
956,82.40309
957,230.91197
958,423.1731
959,599.0522
960,747.18787
961,755.7718
962,682.0303
963,554.3379
964,324.93307
965,247.65048
966,88.99523
967,6.57758
968,43.895992
969,-12.648781
970,-1.9032191
971,-7.850927
972,-11.700743
973,-15.721336
974,39.551212
975,24.47827
976,-17.82012
977,16.608795
978,0.17313255
979,5.611142
980,106.34654
981,388.86505
982,692.0265
983,857.66565
984,897.3719
985,860.642
986,824.09973
987,622.6615
988,495.14136
989,353.25726
990,117.88036
991,61.98133
992,18.077347
993,59.472603
994,32.074867
995,58.12568
996,75.31078
997,44.05111
998,46.739243
999,21.413342
1000,81.14284
1001,92.850716
1002,28.271221
1003,41.06069
1004,303.88943
1005,589.14
1006,724.361
1007,620.3622
1008,727.4676
1009,734.7006
1010,701.48334
1011,527.1378
1012,486.83212
1013,303.01492
1014,175.71909
1015,79.09919
1016,15.589955
1017,32.633236
1018,34.159348
1019,40.68192
1020,14.727509
1021,1.8015088
1022,16.351202
1023,24.986273
1024,-11.018686
1025,-6.583504
1026,-0.3638207
1027,21.93208
1028,97.49373
1029,406.7732
1030,490.40396
1031,675.6853
1032,710.01917
1033,749.0151
1034,715.9813
1035,547.91003
1036,449.02383
1037,362.43375
