,bodeganorte
420,-4.1239905
421,-11.832855
422,-0.55079156
423,-0.4864024
424,-5.181296
425,41.947037
426,160.29526
427,367.14377
428,402.8284
429,354.75168
430,403.16348
431,342.59613
432,242.58722
433,182.33275
434,116.57484
435,23.580818
436,5.622505
437,4.4671717
438,3.4168963
439,-0.84957063
440,5.915596
441,-15.100854
442,-1.2792212
443,9.391092
444,-6.430188
445,2.2258122
446,46.56154
447,271.73553
448,386.9844
449,524.2543
450,613.4598
451,689.6378
452,550.55505
453,390.8347
454,251.38824
455,202.25735
456,112.873314
457,0.32304555
458,0.68574506
459,0.2858128
460,-4.7356668
461,3.0574532
462,3.681005
463,2.6512303
464,1.9545355
465,-0.68231255
466,-21.994167
467,-12.639582
468,77.24161
469,350.836
470,459.42087
471,476.83105
472,608.1672
473,570.8999
474,506.1023
475,390.27658
476,187.81895
477,158.87369
478,5.663275
479,-12.425824
480,-14.9758005
481,9.354718
482,-1.0275273
483,-7.2878885
484,-10.057814
485,10.704442
486,-9.051851
487,7.746629
488,-0.61123943
489,-12.895232
490,82.70853
491,322.27603
492,384.55228
493,523.52405
494,609.9816
495,582.08374
496,521.3654
497,453.09494
498,208.62442
499,143.72626
500,11.527935
501,8.895438
502,22.391386
503,1.7239562
504,26.571323
505,12.393996
506,-26.003548
507,-22.139889
508,-15.321673
509,-26.960684
510,-25.208714
511,-4.198202
512,87.99492
513,351.80035
514,405.2909
515,544.1878
516,585.6474
517,571.38086
518,502.67947
519,401.86932
520,204.2558
521,158.0212
522,-5.6464963
523,-2.63215
524,-3.9959126
525,-11.334589
526,-11.485525
527,10.622028
528,-6.5877337
529,-4.809566
530,-4.270444
531,-7.442874
532,-4.1788387
533,-18.630045
534,35.437065
535,259.24014
536,440.9355
537,580.37006
538,617.3215
539,596.2881
540,519.94977
541,390.94022
542,284.05075
543,167.41985
544,3.0308979
545,-3.9175413
546,1.7439959
547,3.5841894
548,-5.24882
549,-8.610476
550,-4.6330004
551,-2.1798675
552,-0.026636682
553,1.3284689
554,-2.4332407
555,-0.38325945
556,14.594743
