,balsa-laguna
422,-1.1089078
423,-4.7347355
424,1.2378314
425,7.565243
426,-5.6157975
427,30.282701
428,228.75533
429,345.87756
430,521.2585
431,397.4977
432,303.9101
433,477.2887
434,392.0836
435,330.66434
436,107.32445
437,32.69607
438,9.435981
439,-1.738799
440,0.04666241
441,1.0110877
442,1.43878
443,-13.105709
444,6.6581116
445,-0.37116614
446,-18.907803
447,185.53676
448,477.06815
449,403.32544
450,599.9734
451,514.3902
452,535.6846
453,417.3285
454,222.48274
455,234.40865
456,10.342466
457,-1.7629215
458,2.8498938
459,18.852346
460,1.431914
461,-11.425131
462,16.541279
463,-7.9133916
464,-22.590061
465,2.0862508
466,0.30403742
467,-2.175796
468,-10.938347
469,16.899143
470,24.87364
471,300.0097
472,452.48718
473,462.65225
474,564.4145
475,649.1515
476,622.25085
477,365.33002
478,237.01541
479,167.29301
480,53.944614
481,14.397298
482,9.424664
483,12.405979
484,12.364642
485,13.808451
486,87.71732
487,-16.454052
488,-13.536659
489,-42.09801
490,-15.804847
491,-4.5009947
492,0.13565454
493,-1.8526945
494,36.771553
495,261.28262
496,470.44617
497,505.0589
498,642.96716
499,636.58167
500,528.45123
501,474.61716
502,152.78183
503,109.79187
504,24.007246
505,1.2687721
506,2.1085293
507,11.818196
508,44.53271
509,-11.003199
510,-2.2877507
511,-4.8121076
512,-18.82455
513,-10.612764
514,-22.510757
515,-13.437963
516,-8.445175
517,-39.208305
518,31.974958
519,256.00992
520,346.94186
521,508.3637
522,559.84235
523,643.9436
524,585.5568
525,471.1972
526,311.45514
527,220.72978
528,12.961632
529,2.3416228
530,-32.174896
531,7.0086746
532,19.848885
533,13.769385
534,-21.365753
535,1.3824781
536,-3.0618846
537,-13.256531
538,-6.7356796
539,-3.043573
540,1.6070288
541,-4.772152
542,86.69647
543,257.63797
544,480.17047
545,475.6099
546,610.2544
547,601.0472
548,682.9889
549,436.05347
550,254.25668
551,183.19612
552,-9.028004
553,-18.6861
554,-28.703342
555,-35.438248
556,-31.65726
557,-14.111984
558,-3.0338442
559,3.7178793
560,-2.8325596
561,-6.194322
562,-14.4639225
563,-18.629791
564,-2.8249342
565,-1.1687603
566,30.801432
567,213.34401
568,432.55588
569,547.0007
570,461.41925
571,462.82227
572,459.60263
573,259.53458
574,121.87671
575,24.206718
576,20.800804
577,-2.5627623
578,0.59838456
579,-5.145029
580,-9.570786
581,-14.273272
582,-6.5216346
583,-6.7281194
584,23.92297
585,0.00013166666
586,-8.190194
587,-6.4260855
588,6.930488
589,-5.01226
590,23.673952
591,128.56956
592,251.43127
593,307.3702
594,351.87704
595,306.04996
596,304.94904
597,281.33884
598,160.872
599,83.74821
600,4.278981
601,3.034635
602,-3.8533518
603,-3.6597407
604,-2.1306527
605,-1.346437
606,-6.7241135
607,-5.270503
608,-3.0329964
609,-3.0414305
610,-0.5223312
611,0.09805746
612,2.1591997
613,0.3397376
614,28.385365
615,168.01437
616,254.52605
617,294.48203
618,388.41022
619,392.08685
620,378.91473
621,255.70699
622,123.183846
623,57.349155
624,7.103796
625,3.906376
626,-0.78451127
627,-4.850772
628,2.311322
629,-0.077140994
630,5.103404
631,3.8507142
632,-13.368307
633,-16.905947
634,-8.937813
635,22.656075
636,12.257906
637,7.258849
638,6.3921385
639,16.536648
640,59.75856
641,36.109455
642,53.674603
643,96.19607
644,172.59315
645,43.154297
646,51.79818
647,29.328283
648,12.264486
649,4.444433
650,-12.402824
651,-8.439621
652,8.447718
653,9.292264
654,-2.3577123
655,4.3587
656,9.134226
657,0.5129895
658,-2.104309
659,8.683742
660,-19.447792
661,-11.780861
662,23.283915
663,247.4081
664,361.55493
665,564.38055
666,706.0595
667,694.22595
668,519.3122
669,369.45822
670,271.263
671,128.55685
672,3.1830585
673,11.094109
674,7.9308248
675,-2.439514
676,0.04124085
677,2.4666831
678,-1.9436232
679,-4.295051
680,-5.4522533
681,-4.3547106
682,2.3626196
683,1.8015062
684,-1.8329902
685,8.24578
686,25.014605
687,156.28114
688,270.95163
689,328.60294
690,423.98566
691,426.2934
692,401.14575
693,289.4567
694,133.8501
695,33.332718
696,19.818739
697,8.5621605
698,-7.90823
699,8.546115
700,-4.408364
701,5.2354274
702,-5.0067983
703,-6.832342
704,-9.294073
705,5.728301
706,2.3111067
707,-1.5444978
708,-13.863882
709,-9.061241
710,11.245589
711,74.09839
712,246.4105
713,200.94151
714,305.7955
715,346.1348
716,326.92697
717,313.14862
718,137.5074
719,34.349815
720,-2.0911427
721,-1.7958735
722,-3.58457
723,-7.901319
724,-0.7552936
725,-2.728123
726,-6.435056
727,-8.080256
728,-1.9545633
729,-15.134176
730,-36.78539
731,-6.794491
732,-1.8263594
733,-5.371498
734,23.657503
735,140.80801
736,129.3566
737,247.42831
738,236.36688
739,143.29872
740,114.34075
741,15.900006
742,31.421383
743,15.064877
744,-1.0288324
745,-4.7798085
746,2.148834
747,-5.741463
748,4.874886
749,1.2404686
750,4.646367
751,-12.542659
752,-8.485052
753,-1.3678085
754,5.3515534
755,0.20904458
756,11.850737
757,8.79837
758,14.80587
759,167.94054
760,192.50993
761,190.99858
762,254.24242
763,306.7179
764,140.34277
765,80.87342
766,99.297874
767,48.26255
768,0.5466169
769,-1.1196384
770,6.6817794
771,-17.448141
772,3.437543
773,-0.238922
774,3.2406373
775,4.3797736
776,-1.6722727
777,-3.1393344
778,9.892457
779,2.6823943
780,3.4702568
781,-9.326675
782,12.709061
783,124.805824
784,140.64046
785,171.67775
786,189.62218
787,376.98608
788,201.45302
789,103.59917
790,83.021614
791,103.11289
792,7.9610066
793,3.4413795
794,6.712734
795,4.3761272
796,2.8505979
797,2.646089
798,-3.5669622
799,-4.4702473
800,-4.179115
801,-7.488967
802,-19.405203
803,5.729166
804,6.0270696
805,9.060467
806,34.562607
807,180.06462
808,153.95181
809,243.69931
810,210.91695
811,252.8462
812,228.40468
813,48.054863
814,97.72802
815,118.15302
816,17.330355
817,0.0847303
818,3.6758912
819,-12.140435
820,-4.1458955
821,6.0877857
822,-0.7021643
823,11.684416
824,2.0230546
825,7.563733
826,4.9731812
827,0.9983092
828,-24.364365
829,10.517423
830,44.128155
