time,hum,wind,maxwind,winddir,rain,temp,Hour,Month
2021-05-26 20:00:00+00:00,99.0,8.549999999999999,20.9,70.5,0.20000000000000004,8.016666666666667,20,5
2021-05-26 21:00:00+00:00,99.0,8.566666666666666,20.9,72.83333333333333,0.20000000000000004,8.133333333333333,21,5
2021-05-26 22:00:00+00:00,99.0,9.683333333333332,20.9,81.33333333333333,0.20000000000000004,7.3500000000000005,22,5
2021-05-26 23:00:00+00:00,99.0,8.566666666666666,15.300000000000002,90.0,0.03333333333333333,7.366666666666667,23,5
2021-05-27 00:00:00+00:00,99.0,8.299999999999999,16.1,81.16666666666667,0.0,7.75,0,5
2021-05-27 01:00:00+00:00,99.0,8.583333333333334,16.1,126.33333333333333,0.0,8.2,1,5
2021-05-27 02:00:00+00:00,99.0,7.766666666666667,16.1,76.5,0.0,7.8500000000000005,2,5
2021-05-27 03:00:00+00:00,99.0,7.766666666666667,16.1,93.0,0.0,7.7,3,5
2021-05-27 04:00:00+00:00,99.0,7.733333333333333,16.1,85.66666666666667,0.0,7.683333333333334,4,5
2021-05-27 05:00:00+00:00,99.0,8.566666666666666,16.1,75.5,0.0,7.55,5,5
2021-05-27 06:00:00+00:00,99.0,9.116666666666667,16.1,76.5,0.0,7.3,6,5
2021-05-27 07:00:00+00:00,99.0,8.583333333333334,16.1,82.16666666666667,0.0,7.683333333333334,7,5
2021-05-27 08:00:00+00:00,99.0,9.666666666666666,16.1,77.5,0.0,7.95,8,5
2021-05-27 09:00:00+00:00,99.66666666666667,2.9333333333333336,16.1,74.33333333333333,0.0,8.700000000000001,9,5
2021-05-27 10:00:00+00:00,99.83333333333333,3.466666666666667,16.1,87.16666666666667,0.0,9.266666666666667,10,5
2021-05-27 11:00:00+00:00,99.83333333333333,5.6000000000000005,16.1,72.33333333333333,0.0,9.6,11,5
2021-05-27 12:00:00+00:00,99.5,1.0666666666666667,16.1,82.66666666666667,0.0,9.783333333333333,12,5
2021-05-27 13:00:00+00:00,99.5,1.8666666666666665,16.1,91.0,0.0,9.783333333333333,13,5
2021-05-27 14:00:00+00:00,99.16666666666667,0.0,16.1,87.5,0.0,9.65,14,5
2021-05-27 15:00:00+00:00,99.16666666666667,0.7999999999999999,16.1,67.0,0.0,9.583333333333334,15,5
2021-05-27 16:00:00+00:00,99.16666666666667,6.666666666666667,16.1,81.66666666666667,0.0,9.433333333333334,16,5
2021-05-27 17:00:00+00:00,99.0,2.4,16.1,76.16666666666667,0.0,9.616666666666665,17,5
2021-05-27 18:00:00+00:00,99.0,6.95,16.1,78.0,0.0,8.9,18,5
2021-05-27 19:00:00+00:00,99.0,7.483333333333333,16.1,82.66666666666667,0.0,8.616666666666665,19,5
2021-05-27 20:00:00+00:00,99.0,7.216666666666666,16.1,81.83333333333333,0.0,8.383333333333333,20,5
2021-05-27 21:00:00+00:00,99.0,6.933333333333334,16.1,81.0,0.0,8.299999999999999,21,5
2021-05-27 22:00:00+00:00,99.0,6.133333333333333,17.166666666666668,66.5,0.0,6.933333333333334,22,5
2021-05-27 23:00:00+00:00,99.0,8.0,12.083333333333334,89.66666666666667,0.0,6.75,23,5
2021-05-28 00:00:00+00:00,99.0,10.5,13.966666666666669,88.0,0.06666666666666667,6.95,0,5
2021-05-28 01:00:00+00:00,99.0,9.65,16.1,73.5,0.20000000000000004,7.133333333333333,1,5
2021-05-28 02:00:00+00:00,99.0,9.683333333333334,16.1,83.0,0.20000000000000004,6.916666666666667,2,5
