,mont-picocruz
437,228.47527
438,38.978867
439,55.369728
440,58.91772
441,24.666042
442,56.53594
443,56.53594
444,-100.88161
445,-83.89592
446,-31.362642
447,-71.89792
448,-29.682354
449,-68.7036
450,-54.1956
451,126.69818
452,283.39944
453,367.4418
454,686.31006
455,754.61957
456,801.488
457,811.04266
458,706.2179
459,638.6492
460,466.27777
461,249.50957
462,133.32011
463,48.9955
464,52.21566
465,-14.010304
466,-31.47512
467,-45.200294
468,-47.67075
469,-47.52409
470,-40.42367
471,-38.878704
472,-47.025227
473,-46.490917
474,-31.580679
475,55.99793
476,256.06918
477,585.90625
478,647.3611
479,749.4759
480,786.83826
481,791.8482
482,688.3477
483,669.8043
484,481.83493
485,254.6036
486,107.37519
487,39.34149
488,-19.62491
489,-100.6316
490,-38.506786
491,-52.321205
492,-49.522953
493,-40.744335
494,-45.905178
495,35.564106
496,12.077953
497,14.220472
498,23.039923
499,118.309006
500,277.05698
501,540.0177
502,600.30316
503,752.9415
504,767.7161
505,791.8966
506,774.1181
507,727.5838
508,546.3456
509,332.71533
510,64.610275
511,13.327903
512,-5.988721
513,8.031596
514,4.4778585
515,33.00579
516,34.381588
517,12.460266
518,15.218834
519,12.386386
520,-35.762905
521,-34.48313
522,-27.824339
523,63.608208
524,299.21597
525,537.5476
526,613.4501
527,748.4691
528,727.5314
529,857.28094
530,804.53424
531,713.23615
532,578.49396
533,387.67154
534,87.94273
535,-41.896194
536,16.090202
537,12.13224
538,23.052048
539,18.20977
540,-7.5134645
541,1.1057135
542,8.181852
543,-63.851917
544,-36.031303
545,-9.938258
546,16.437782
547,79.91679
548,266.7297
549,568.87604
550,681.64777
551,784.46686
552,778.8966
553,827.50214
554,795.1515
555,729.1133
556,516.8412
557,290.1827
558,96.35027
559,44.56136
560,-15.434439
561,14.645913
562,-35.01954
563,-41.074356
564,9.960675
565,37.688755
566,23.355925
567,27.72766
568,16.536633
569,20.115438
570,36.520123
571,128.02655
572,280.3863
573,634.5579
574,704.5997
575,840.21893
576,866.4786
577,872.33795
578,675.3867
579,707.617
580,541.82275
581,344.03693
582,93.18746
583,54.94171
584,48.810753
585,16.887098
586,-35.354866
587,27.275145
588,-59.35392
589,-2.7274785
590,-5.0701265
591,-44.438248
592,25.66831
593,-3.400611
594,22.573965
595,100.40849
596,253.66339
597,512.0124
598,665.8195
599,703.2658
600,750.84753
601,769.31805
602,668.44257
603,667.9746
604,472.13147
605,273.01523
606,56.74698
607,19.990322
608,-19.760675
609,-29.70016
610,-21.989542
611,24.435955
612,14.606439
613,4.3473907
614,-7.417756
615,10.466811
616,15.509588
617,7.4306555
618,42.136665
619,54.957737
620,236.60895
621,482.44653
622,554.97095
623,748.96484
624,771.8483
625,738.4947
626,734.4186
627,686.8792
628,543.5332
629,430.5601
630,-15.030707
631,-69.59206
632,21.743235
633,43.823227
634,33.054733
635,51.465004
636,23.516731
637,32.438503
638,22.51564
639,22.966253
640,22.525475
641,24.434017
642,48.996616
643,141.23607
644,191.31271
645,401.81494
646,600.93616
647,666.8206
648,735.6833
649,761.5007
650,618.6995
651,604.38464
652,433.56693
653,309.77075
654,77.24497
655,44.940716
656,-104.26955
657,-110.61476
658,-115.96971
659,-93.51702
660,-109.92595
661,-88.55643
662,-108.578766
663,-104.71661
664,-126.79335
665,-124.7292
666,-100.29547
667,97.24669
668,178.6055
669,277.06262
670,547.86005
671,606.5015
672,758.3149
673,712.74255
674,678.0352
675,531.2009
676,383.65604
677,170.23114
678,-42.151775
679,-86.413216
680,-107.85854
681,-110.33448
682,-110.61476
683,-110.61476
684,-100.94354
685,-112.826355
686,-112.826355
687,-125.009544
688,-22.549711
689,-21.101784
690,13.853671
691,30.76676
692,200.41557
693,304.26703
694,548.1358
695,624.68195
696,733.27
697,658.03705
698,558.3522
699,484.62134
700,336.60178
701,256.98627
702,113.0049
703,28.970915
704,8.848093
705,8.032883
706,8.032883
707,8.892528
708,6.563333
709,10.900813
710,6.039925
711,20.297781
712,12.9861765
713,19.539082
714,45.50751
715,65.792755
716,246.56279
717,417.92117
718,500.84552
719,612.5262
720,703.90344
721,828.1327
722,778.9178
723,729.58405
724,584.5831
725,390.19427
726,48.71527
727,-25.863861
728,-15.614934
729,-10.71126
730,-12.731651
731,-17.956867
732,-2.9997857
733,-0.4980636
734,-7.5207815
