,mont-tricias
423,-3.0556526
424,-6.3234715
425,-2.7645466
426,-6.957827
427,24.529524
428,126.58768
429,331.16153
430,519.02094
431,501.0549
432,522.98315
433,431.4478
434,329.0374
435,189.28288
436,108.680214
437,4.426945
438,-6.7482862
439,-11.781392
440,-4.06636
441,-27.267572
442,-36.763462
443,19.506495
444,9.244266
445,0.69013005
446,-5.2152653
447,30.755608
448,-71.95198
449,32.283157
450,25.903803
451,18.997211
452,201.53613
453,411.59012
454,555.3004
455,603.89453
456,590.6221
457,504.0876
458,409.97998
459,191.37509
460,167.1201
461,3.866627
462,-21.014599
463,-7.7290316
464,-1.9237555
465,-11.94891
466,-13.760088
467,-4.0788364
468,-4.458195
469,1.6877078
470,4.186073
471,-4.4159737
472,2.9083633
473,-2.4604082
474,-5.692112
475,6.8960915
476,96.529854
477,231.40305
478,316.03754
479,349.58728
480,445.32697
481,315.18066
482,118.86974
483,64.774635
484,58.4061
485,-9.725313
486,-10.556402
487,-1.2936723
488,4.631313
489,-19.108814
490,-5.9167643
491,-2.61154
492,-6.1101327
493,5.3920403
494,-1.9286363
495,4.047431
496,7.2099094
497,5.3112316
498,-2.7290974
499,3.7365274
500,178.59254
501,237.62125
502,231.11565
503,383.96378
504,257.83243
505,306.31024
506,360.97284
507,98.71521
508,82.809814
509,21.987625
510,4.92978
511,9.01958
512,-9.722292
513,-12.898953
514,-40.282368
515,-0.648869
516,-3.16669
517,3.739879
518,-14.2277565
519,0.4018859
520,-5.9890947
521,-6.729496
522,-24.801668
523,16.932283
524,232.73326
525,400.14886
526,524.928
527,558.6378
528,570.6319
529,501.70053
530,385.98502
531,165.71536
532,150.35303
533,22.62609
534,-5.5652857
535,-3.553649
536,-15.627225
537,10.804161
538,22.636776
539,1.8239683
540,30.676533
541,21.962816
542,0.22346741
543,2.5184674
544,3.464013
545,24.990677
546,22.380796
547,65.89302
548,160.05815
549,398.4043
550,610.4356
551,615.1928
552,595.19775
553,600.6535
554,506.8234
555,263.80154
556,188.61763
557,72.93933
558,27.588507
559,15.022127
560,46.41506
561,75.358696
562,21.99556
563,14.807775
564,6.698533
565,23.056807
566,56.617577
567,12.7400875
568,8.055935
569,-9.479856
570,13.211241
571,107.86665
572,232.4053
573,464.74753
574,635.60205
575,648.5132
576,624.6842
577,601.28564
578,435.31418
579,210.77602
580,173.77657
581,59.169617
582,0.50000346
583,37.170067
584,42.960278
585,-8.415752
586,55.161636
587,-16.297117
588,-18.956821
589,69.40332
590,71.74824
591,111.068474
592,100.55132
593,85.950005
594,62.628075
595,98.911644
596,192.07811
597,482.32635
598,596.35156
599,632.0111
600,510.19574
601,604.81696
602,514.07666
603,222.35365
604,172.63759
605,-4.6462755
606,64.394516
607,11.266121
608,51.193855
609,29.68927
610,14.917408
611,3.305303
612,12.162275
613,-11.606124
614,-33.969612
615,7.1488867
616,-77.559586
617,-4.4497023
618,-7.468586
619,10.145599
620,209.55394
621,284.38632
622,427.4857
623,613.5892
624,603.5464
625,506.30942
626,362.57285
627,253.89009
628,135.03937
629,36.28247
630,12.83449
631,-6.704623
632,11.120057
633,-9.964826
634,-7.1675825
635,-7.57475
636,-35.663994
637,-5.438963
638,-31.732311
639,65.88618
640,-29.978811
641,9.087144
642,2.6033115
643,45.243553
644,286.63742
645,403.92972
646,507.15485
647,537.1918
648,547.93274
649,471.27188
650,339.19363
