,centrovis-aemet
425,6.9050574
426,-0.6985756
427,35.709328
428,248.26869
429,411.1962
430,468.5221
431,505.8
432,524.6151
433,475.7131
434,424.29214
435,238.17233
436,45.24716
437,-0.2876898
438,-6.57504
439,-1.4071282
440,-6.605397
441,1.2276791
442,9.155383
443,2.3848457
444,4.8526397
445,3.5018048
446,0.5025201
447,0.8054666
448,3.2531567
449,1.1005193
450,0.9816392
451,24.91687
452,203.17674
453,498.5535
454,511.08847
455,684.62823
456,706.4018
457,586.712
458,488.6207
459,317.15176
460,219.832
461,17.630663
462,3.6465046
463,5.2034097
464,0.29602426
465,1.2532018
466,16.561935
467,2.1796265
468,-4.3518467
469,5.7229223
470,-2.0249085
471,19.19894
472,0.93468195
473,10.158029
474,2.6624494
475,87.91741
476,217.55965
477,397.7469
478,393.95758
479,549.3637
480,670.18207
481,546.5534
482,330.461
483,264.01108
484,167.02777
485,41.961514
486,16.598381
487,29.32903
488,25.113218
489,25.623915
490,15.893733
491,6.785498
492,-1.6012715
493,2.8177986
494,-0.3687378
495,-0.3687378
496,4.9132037
497,12.559887
498,-17.125603
499,34.0953
500,213.14229
501,353.97336
502,763.31995
503,688.55743
504,640.2415
505,687.30304
506,545.5563
507,335.59265
508,335.06876
509,29.05464
510,5.319149
511,3.7203884
512,2.476609
513,3.134448
514,1.839043
515,5.5927043
516,6.476066
517,-3.2748847
518,-2.0905883
519,-2.1596324
520,-1.7439767
521,1.1005193
522,1.5732654
523,31.542023
524,187.8065
525,322.51514
526,555.70337
527,656.6339
528,632.57214
529,592.86005
530,478.30844
531,297.3914
532,145.06964
533,24.731565
534,5.0201926
535,1.1263272
536,4.8311434
537,3.9706342
538,3.9706342
539,4.300893
540,-2.0179105
541,1.6894065
542,-0.5762649
543,2.8375006
544,0.91817623
545,-1.5213135
546,3.2292314
547,23.461315
548,204.38843
549,244.10208
550,386.94742
551,581.98413
552,716.6341
553,558.6133
554,459.3912
555,359.6283
556,167.14537
557,35.71982
558,11.892774
559,-36.629383
560,-3.8969038
561,-12.945742
562,3.759585
563,-42.634174
564,5.5075083
565,-14.430372
566,-14.446524
567,-14.310169
568,-11.981835
569,7.0665064
570,-12.875208
571,76.03173
572,210.62653
573,331.39398
574,516.67126
575,586.02466
576,582.2365
577,598.16547
578,460.0634
579,266.77274
580,153.95267
581,19.760235
582,-1.9273283
583,-11.107703
584,-8.741509
585,-5.4539332
586,-18.127512
587,-4.5310965
588,-1.040608
589,-5.546961
590,6.737552
591,-12.845617
592,-9.517917
593,-6.8654394
594,-19.272936
595,40.19249
596,222.39409
597,342.59198
598,514.8415
599,569.3446
600,554.5526
601,529.4197
602,410.52087
603,244.9769
604,112.57292
605,9.245975
606,-15.027542
607,-24.585457
608,23.893787
609,5.7655563
610,-6.4842134
611,-2.6872556
612,2.101403
613,4.014413
614,3.5127342
615,12.123
616,-12.879295
617,-16.65199
618,-12.472811
619,-20.917988
620,237.4363
621,327.53738
622,487.80527
623,520.5016
624,592.272
625,601.9881
626,472.61295
627,274.04276
628,178.66698
629,1.1201147
630,14.054731
631,0.3077196
632,3.4088578
633,-9.074943
634,-9.074943
635,7.363809
636,11.989063
637,2.8219805
638,4.846028
639,1.210574
640,1.7904884
641,-2.7550836
642,-0.3682493
643,47.72075
644,248.78725
645,365.4312
646,501.53275
647,627.7603
648,635.2378
649,619.8758
650,442.61978
651,299.66418
652,166.92198
