,salinas
442,8.744827
443,-98.26526
444,-87.034996
445,-14.809902
446,7.4193506
447,-28.7595
448,-17.492144
449,1.6729351
450,-58.57339
451,16.22386
452,115.627396
453,386.03262
454,620.47266
455,686.05634
456,697.87555
457,666.44495
458,493.20282
459,284.52448
460,221.58174
461,86.675476
462,37.62411
463,48.730698
464,34.756943
465,34.62139
466,30.11311
467,9.947068
468,-11.758921
469,-16.80866
470,-17.976652
471,19.067919
472,-14.6406
473,3.7488794
474,-36.388393
475,84.07203
476,251.45741
477,431.15393
478,665.04016
479,733.91113
480,738.2947
481,712.50226
482,446.3833
483,298.8581
484,262.7545
485,65.394646
486,41.86283
487,34.72707
488,37.133907
489,33.930065
490,29.374037
491,-3.4623742
492,34.94115
493,55.692444
494,2.0479167
495,-12.436693
496,-49.148167
497,-23.707197
498,-2.6665423
499,103.33851
500,150.2416
501,469.37265
502,678.6358
503,730.6875
504,760.082
505,702.5317
506,470.8628
507,342.8206
508,277.90842
509,89.58971
510,76.86048
511,54.48996
512,58.58537
513,54.82688
514,48.190315
515,-2.2638505
516,13.096839
517,-5.7261567
518,-13.609954
519,87.32386
520,64.529724
521,34.91224
522,48.78952
523,150.94405
524,197.19821
525,388.2104
526,681.3694
527,734.5832
528,703.4646
529,676.3559
530,479.0028
531,402.4801
532,299.49698
533,96.407036
534,111.88544
535,75.62323
536,110.99815
537,62.246506
538,62.90339
539,-29.66277
540,-51.261497
541,-32.063595
542,-11.357512
543,-0.6697978
544,0.6318747
545,-16.388199
546,42.24873
547,127.74235
548,325.53336
549,469.87448
550,578.3086
551,638.5961
552,687.9869
553,406.8052
554,328.57513
555,220.84184
556,-0.78795993
557,-26.171404
558,74.465195
559,32.001945
560,30.386326
561,34.947968
562,-94.357254
563,-64.94232
564,3.017256
565,-2.982887
566,4.7026854
567,-26.297905
568,-18.563614
569,-33.405205
570,1.5748674
571,85.95867
572,399.63193
573,655.3338
574,712.6067
575,678.4609
576,671.1407
577,463.24493
578,313.76828
579,220.14726
580,74.50936
581,29.346409
582,44.883312
583,35.77378
584,18.089048
585,18.089048
586,-37.271355
587,-31.755678
588,-5.623554
589,-3.0554132
590,-18.48178
591,-23.9422
592,-27.275793
593,-39.192577
594,-53.006542
595,139.66132
596,398.9893
597,651.66534
598,714.357
599,711.883
600,696.93243
601,474.9936
602,284.0782
603,184.58458
604,-45.33718
605,-42.652058
606,2.641507
607,2.8947694
608,-15.58545
609,5.519453
610,4.434024
611,13.300362
612,-3.0769804
613,-17.500948
614,-5.8162956
615,-22.082832
616,-17.027224
617,-13.991885
618,-35.681545
619,146.92023
620,371.3195
621,550.2539
622,648.13995
623,741.4666
624,697.281
625,485.12717
626,337.96585
627,191.1639
628,74.73919
629,65.38603
630,53.90492
631,84.69991
632,76.190056
633,-3.3136432
634,-10.855201
635,-60.157265
636,-8.928628
637,1.0139221
638,23.411245
639,12.379473
640,-6.9090376
641,-15.697296
642,-15.377294
643,161.36458
644,381.5117
645,625.92255
646,636.4059
647,673.64856
648,621.1515
649,453.19263
650,336.41046
651,220.53725
652,85.89812
653,59.482616
654,64.778366
655,73.18642
656,1.1246287
657,-17.369068
658,24.57443
659,20.191027
660,103.97931
661,100.7764
662,82.25497
663,83.23367
664,64.12945
665,52.73052
666,96.92165
667,323.48828
668,456.73007
669,641.1806
670,657.97394
671,668.0683
672,679.2169
673,442.16476
674,241.70528
675,174.86562
676,74.2738
677,37.579384
678,37.380432
679,52.83194
680,31.285294
681,36.499496
682,17.308937
683,-2.9998806
684,24.459602
685,63.132496
686,77.80728
687,60.249508
688,26.972427
689,47.829376
690,51.46048
691,218.8782
692,480.3004
693,658.0089
694,690.1811
695,708.84576
696,652.53754
697,389.0543
698,214.11205
699,139.42676
700,27.803371
701,38.93799
702,49.584755
703,51.772728
704,51.583233
705,64.48612
