time,hum,wind,maxwind,winddir,rain,temp,Hour,Month
2016-12-13 13:00:00+00:00,65.0,5.46,14.5,121.8,0.0,13.02,13,12
2016-12-13 14:00:00+00:00,68.33333333333333,3.466666666666667,14.5,165.0,0.0,14.0,14,12
2016-12-13 15:00:00+00:00,60.0,2.9333333333333336,14.5,135.83333333333334,0.0,14.433333333333332,15,12
2016-12-13 16:00:00+00:00,59.833333333333336,2.1333333333333333,14.5,197.83333333333334,0.0,14.200000000000001,16,12
2016-12-13 17:00:00+00:00,63.5,2.9333333333333336,14.5,151.0,0.0,12.549999999999999,17,12
2016-12-13 18:00:00+00:00,64.33333333333333,3.733333333333334,14.5,215.5,0.0,10.583333333333334,18,12
2016-12-13 19:00:00+00:00,61.5,4.0,14.5,261.8333333333333,0.0,10.216666666666667,19,12
2016-12-13 20:00:00+00:00,57.833333333333336,5.883333333333333,14.5,268.5,0.0,10.299999999999999,20,12
2016-12-13 21:00:00+00:00,54.5,9.133333333333333,14.5,280.0,0.0,10.466666666666667,21,12
2016-12-13 22:00:00+00:00,47.166666666666664,12.366666666666667,15.033333333333333,279.3333333333333,0.0,11.083333333333334,22,12
2016-12-13 23:00:00+00:00,45.5,11.016666666666667,16.1,272.6666666666667,0.0,11.166666666666666,23,12
2016-12-14 00:00:00+00:00,46.666666666666664,9.116666666666667,13.166666666666666,265.3333333333333,0.0,11.316666666666668,0,12
2016-12-14 01:00:00+00:00,45.666666666666664,3.733333333333334,14.5,252.0,0.0,11.583333333333334,1,12
2016-12-14 02:00:00+00:00,51.0,2.1333333333333333,14.5,236.16666666666666,0.0,10.816666666666668,2,12
2016-12-14 03:00:00+00:00,46.666666666666664,4.533333333333334,14.5,260.3333333333333,0.0,10.966666666666667,3,12
2016-12-14 04:00:00+00:00,44.666666666666664,5.916666666666667,14.5,252.0,0.0,11.1,4,12
2016-12-14 05:00:00+00:00,44.5,5.083333333333333,14.5,240.66666666666666,0.0,11.116666666666667,5,12
2016-12-14 06:00:00+00:00,47.166666666666664,7.766666666666667,15.833333333333334,158.83333333333334,0.0,10.700000000000001,6,12
2016-12-14 07:00:00+00:00,52.166666666666664,4.016666666666667,16.1,48.666666666666664,0.0,10.799999999999999,7,12
2016-12-14 08:00:00+00:00,45.5,2.9333333333333336,16.1,77.16666666666667,0.0,11.4,8,12
2016-12-14 09:00:00+00:00,45.5,4.0,16.1,54.333333333333336,0.0,12.066666666666668,9,12
2016-12-14 10:00:00+00:00,50.166666666666664,6.1499999999999995,16.900000000000002,261.3333333333333,0.0,12.5,10,12
2016-12-14 11:00:00+00:00,55.833333333333336,9.116666666666667,22.5,279.1666666666667,0.0,13.35,11,12
2016-12-14 12:00:00+00:00,71.0,2.4,22.5,173.83333333333334,0.0,14.399999999999999,12,12
2016-12-14 13:00:00+00:00,81.16666666666667,3.1999999999999997,22.5,136.5,0.0,14.200000000000001,13,12
2016-12-14 14:00:00+00:00,77.0,2.4,22.5,187.33333333333334,0.0,14.816666666666668,14,12
2016-12-14 15:00:00+00:00,81.0,5.366666666666667,22.5,162.0,0.0,13.4,15,12
2016-12-14 16:00:00+00:00,75.83333333333333,8.033333333333333,22.5,241.16666666666666,0.0,13.416666666666666,16,12
2016-12-14 17:00:00+00:00,73.33333333333333,9.95,22.5,263.0,0.0,12.983333333333334,17,12
2016-12-14 18:00:00+00:00,70.33333333333333,10.483333333333333,22.5,272.5,0.0,12.616666666666667,18,12
2016-12-14 19:00:00+00:00,58.333333333333336,13.433333333333332,22.5,266.8333333333333,0.0,13.566666666666668,19,12
2016-12-14 20:00:00+00:00,51.666666666666664,14.233333333333334,22.5,280.3333333333333,0.0,13.700000000000001,20,12
2016-12-14 21:00:00+00:00,51.833333333333336,12.366666666666667,22.5,259.3333333333333,0.0,13.549999999999999,21,12
2016-12-14 22:00:00+00:00,51.0,13.700000000000001,23.03333333333333,255.16666666666666,0.0,13.15,22,12
2016-12-14 23:00:00+00:00,51.166666666666664,13.15,25.7,270.0,0.0,12.5,23,12
2016-12-15 00:00:00+00:00,53.666666666666664,19.566666666666666,27.616666666666664,272.1666666666667,0.0,12.016666666666666,0,12
2016-12-15 01:00:00+00:00,65.5,19.03333333333333,37.0,287.0,0.0,11.733333333333334,1,12
2016-12-15 02:00:00+00:00,73.16666666666667,12.883333333333333,37.0,283.6666666666667,0.0,10.85,2,12
2016-12-15 03:00:00+00:00,71.83333333333333,17.433333333333334,37.0,272.6666666666667,0.0,10.566666666666666,3,12
2016-12-15 04:00:00+00:00,61.0,15.566666666666668,37.0,264.0,0.0,11.0,4,12
2016-12-15 05:00:00+00:00,58.833333333333336,15.033333333333333,37.0,281.8333333333333,0.0,10.5,5,12
2016-12-15 06:00:00+00:00,50.5,7.516666666666667,37.0,258.6666666666667,0.0,10.916666666666666,6,12
2016-12-15 07:00:00+00:00,73.5,4.533333333333333,37.0,93.16666666666667,0.0,9.549999999999999,7,12
2016-12-15 08:00:00+00:00,72.16666666666667,4.816666666666667,37.0,92.83333333333333,0.0,9.65,8,12
2016-12-15 09:00:00+00:00,69.5,2.4,37.0,56.5,0.0,10.450000000000001,9,12
2016-12-15 10:00:00+00:00,74.66666666666667,0.5333333333333333,37.0,61.166666666666664,0.0,10.666666666666666,10,12
2016-12-15 11:00:00+00:00,79.16666666666667,3.2000000000000006,37.0,123.83333333333333,0.0,12.433333333333332,11,12
2016-12-15 12:00:00+00:00,88.83333333333333,12.366666666666667,37.0,267.0,0.0,10.916666666666666,12,12
