,fagundo
421,244.97028
422,126.52841
423,-2.8943806
424,6.4935026
425,13.824272
426,4.05707
427,4.5506287
428,15.253762
429,5.268203
430,3.057012
431,13.666449
432,-7.911543
433,3.5897436
434,5.5049677
435,2.5716467
436,4.9464626
437,70.16757
438,291.0225
439,412.93414
440,555.42145
441,564.6338
442,627.0696
443,442.8162
444,380.38922
445,118.13567
446,71.68145
447,-41.830086
448,-80.17837
449,-51.592117
450,-88.877014
451,-56.752884
452,-85.67911
453,2.9150958
454,-18.960009
455,-18.960009
456,-18.297508
457,-105.5417
458,-18.921295
459,5.796185
460,-5.9834666
461,117.932434
462,250.83661
463,368.66605
464,519.55176
465,389.53668
466,478.803
467,567.9923
468,400.7223
469,233.87073
470,172.98364
471,0.99905014
472,-18.71292
473,4.2329426
474,-12.489911
475,-18.977491
476,-16.958736
477,-3.7010732
478,-17.08509
479,-0.9603416
480,-5.4416895
481,-33.830116
482,-83.03712
483,-97.076225
484,-61.230648
485,85.27105
486,221.67569
487,393.97647
488,645.51135
489,753.49365
490,644.5931
491,650.09155
492,401.1012
493,280.7381
494,91.78171
495,-20.346972
496,-8.43171
497,4.9543056
498,5.654601
499,19.156496
500,-13.702499
501,0.2574419
502,-1.0139312
503,5.5529737
504,6.4176636
505,-1.1121228
506,-0.588831
507,-2.3632224
508,-7.0391088
509,66.04661
510,209.13252
511,359.4071
512,548.40015
513,621.8557
514,683.62494
515,649.4534
516,464.5874
517,355.9501
518,166.00656
519,18.80058
520,-1.76164
521,-12.220672
522,6.7257385
523,4.3851843
524,1.2889036
525,-0.70913523
526,-6.328096
527,-12.137707
528,0.7537962
529,-6.27821
530,0.35226348
531,-0.75012857
532,-1.889838
533,50.521305
534,364.3496
535,528.49835
536,478.88257
537,738.48895
538,594.2527
539,645.61725
540,436.14853
541,201.06604
542,190.3097
543,5.243154
544,4.3901024
545,-0.35389632
546,-3.135942
547,-7.20763
548,-0.61797494
549,8.749377
550,1.1305264
551,1.1317961
552,-0.66461843
553,-6.0432577
554,-0.988144
555,5.0504894
556,26.204082
557,20.149107
558,153.42148
559,506.32523
560,638.845
561,629.3144
562,392.7656
563,519.4864
564,463.11856
565,247.65402
566,176.17299
567,30.979206
568,0.18866226
569,1.4761043
570,-2.5159671
571,10.2426815
572,-1.4591081
573,-5.8595014
574,2.677638
575,5.2524157
576,3.459257
577,5.345756
578,6.033714
579,10.385334
580,-1.8219879
581,44.103874
582,206.33623
583,145.40097
584,248.32378
585,254.08745
586,365.54166
587,490.0622
588,337.13882
589,103.85806
590,83.90604
591,34.672493
592,9.419159
593,36.74738
594,3.859853
595,10.759403
596,-3.135942
597,10.278994
598,3.645671
599,9.139941
600,38.415
601,7.8704047
602,18.700745
603,37.571953
604,7.903032
605,58.365505
606,241.28452
607,512.83466
608,622.1035
609,685.1097
610,718.3807
611,585.71625
612,469.62894
613,258.69073
614,202.19
615,26.079365
616,6.0838175
617,3.8032987
618,2.5413768
619,-1.3941141
620,7.071684
621,-9.740679
622,-13.06424
623,1.9965822
624,37.74417
625,49.657944
626,46.29872
627,4.3202868
628,41.682674
629,54.115784
630,305.6318
631,564.44336
632,679.23895
633,698.63135
634,742.2944
635,665.0386
636,493.5977
637,367.87427
638,289.66016
639,76.96374
640,42.72505
641,43.300606
642,32.007595
643,48.53712
644,32.06593
645,-5.1647277
646,5.589378
647,5.589378
648,1.8880199
649,3.2102656
650,-2.8865204
651,2.2911525
652,-1.1275873
653,32.032047
654,191.98901
655,323.79703
656,662.20294
657,630.133
658,487.03342
659,469.58713
660,387.4706
661,215.90929
662,234.09192
663,79.55615
664,2.2693305
665,-0.6219073
666,6.3597813
667,-0.08567465
668,1.7737685
669,14.39054
670,4.5184083
671,5.323381
672,7.0206337
673,-0.8056415
674,2.387967
675,3.0395315
676,0.59180444
677,29.017426
678,158.42917
679,283.3199
680,428.59988
681,715.34015
682,581.26337
683,529.31616
684,589.73517
685,348.47516
686,266.15366
687,16.913511
688,11.633306
689,8.653282
690,3.5308583
691,-20.313032
692,-10.868699
693,-4.361724
694,-11.90694
695,-10.127232
696,-4.7450886
697,-5.563575
698,-5.09441
699,5.9135494
700,4.7536545
701,24.58621
702,198.82524
703,545.07465
704,621.89026
705,611.70685
706,643.40686
707,536.5097
708,435.71097
709,348.8284
710,158.15695
711,71.73245
712,41.368134
713,46.489086
714,34.345253
715,13.104605
716,39.525265
717,12.993481
718,-18.753632
719,-14.373386
720,-6.7284555
721,-7.8982344
722,-1.6749328
723,-0.3228478
724,-2.162279
725,21.133791
726,270.17615
727,379.60147
728,677.24194
729,724.3217
730,724.73145
731,486.83408
732,456.01492
733,268.45425
734,206.02104
735,37.54724
736,5.129983
737,-0.31530452
738,-7.515533
739,2.140776
740,-1.9668524
741,-11.733895
742,-36.468037
743,-1.9079581
744,-35.738113
745,-26.961184
746,3.5564163
747,-2.34732
748,-3.8080924
749,28.029785
750,186.20515
751,339.6165
752,613.5113
753,541.6779
754,471.6644
755,458.9396
756,385.76065
757,128.12666
758,139.52112
759,28.589573
760,1.6086634
761,18.457373
762,-0.27038488
763,-7.585401
764,0.9849427
765,-1.8026953
766,-4.803832
767,-2.3909585
768,15.916024
769,-2.4454587
770,-2.9212482
771,2.0253725
772,-4.682336
773,19.371954
774,220.00815
775,220.48218
776,389.55542
777,527.7395
778,496.27588
779,567.65063
780,474.71008
781,176.73651
782,34.63202
783,8.796387
784,3.286853
785,-11.279623
786,-0.6919235
787,-1.9849142
788,7.829523
789,-7.536307
790,0.6320025
791,1.832585
792,0.6384147
793,0.61296123
794,2.2831993
795,-0.15629801
796,4.4730644
797,9.424274
798,158.21497
799,493.28156
800,584.71375
801,575.3139
802,576.5241
803,505.56387
804,457.94254
805,193.51868
806,117.21482
807,26.388504
808,-5.7369347
809,4.1748934
810,1.7484412
811,-3.4056697
812,-7.655215
813,6.394393
814,16.884163
815,-1.2672457
816,0.8717441
817,1.9238302
818,1.5408188
819,0.023012407
820,-2.2153687
821,26.170979
822,134.94475
823,380.0702
824,384.95868
825,493.66086
826,489.11353
827,299.77734
828,487.15292
829,265.9378
830,214.76877
831,24.126328
832,2.6488729
833,0.18753159
834,-3.6283858
835,3.2379322
836,2.429013
837,-0.589356
838,-1.7431971
839,-1.8425323
840,-1.818236
841,-1.808618
842,1.6343493
843,3.0395315
844,9.013035
845,21.306376
846,179.42838
847,459.12506
848,233.98325
849,358.6773
850,479.17358
851,243.10933
852,480.5817
853,197.36076
854,219.96118
855,28.636955
856,3.99334
857,14.257738
858,10.397171
859,14.029213
860,2.4384942
861,1.2226363
862,-1.9208933
863,-2.8577027
864,3.2718108
865,-1.8275529
866,-2.1425717
867,2.5642655
868,0.09715884
869,26.869635
870,172.153
871,387.77985
872,618.289
873,681.5536
874,690.50287
875,560.67084
876,377.71463
877,274.41583
878,229.54405
879,43.174603
880,19.80221
881,22.850245
882,-3.3449612
883,-4.1538806
884,-1.5886075
885,-2.0861018
886,-0.68072945
887,5.877031
888,2.5126345
889,-0.08401006
890,2.575977
891,-0.1747474
892,2.997974
893,30.499292
894,271.15164
895,440.76868
896,649.2896
897,622.3006
898,666.5704
899,642.9435
900,430.67627
901,281.199
902,197.20949
903,38.38399
904,27.093016
905,28.452412
906,-2.5900373
907,-1.7311155
908,4.3201256
909,-3.643991
910,-0.0033813715
911,0.88774997
912,0.9153847
913,3.0543933
914,-1.5564615
915,4.7946672
916,-4.8314867
917,6.7467957
918,154.46042
919,416.3676
920,52.762405
921,219.78726
922,114.38798
923,376.3477
924,434.80484
925,313.40356
926,154.55577
927,27.454967
928,28.774778
