,cabildo
430,541.42224
431,677.0086
432,668.2634
433,503.98306
434,371.3199
435,192.47067
436,129.2057
437,40.166576
438,14.224226
439,-0.8401278
440,-27.846722
441,1.8086087
442,-15.387202
443,4.7266593
444,-13.41135
445,-6.404449
446,-1.8210253
447,-8.50085
448,149.47586
449,398.12253
450,675.3835
451,732.45233
452,753.13257
453,725.17255
454,447.84094
455,240.00381
456,237.87766
457,106.690506
458,80.70255
459,68.22406
460,0.89778715
461,-13.095036
462,-27.99131
463,-19.28689
464,-31.18424
465,7.4779053
466,-11.082591
467,-9.464431
468,4.8737307
469,201.0469
470,409.08063
471,562.9374
472,687.35077
473,668.1741
474,656.705
475,414.7018
476,270.30548
477,263.5937
478,27.26159
479,89.40399
480,44.889492
481,72.79315
482,83.883896
483,30.363289
484,-51.678226
485,9.0934
486,4.139566
487,-45.63425
488,77.418686
489,238.31982
490,509.46854
491,681.3001
492,664.9872
493,677.9192
494,738.4522
495,534.32684
496,344.98856
497,238.52931
498,64.42887
499,42.08441
500,17.42272
501,42.541748
502,57.243935
503,50.073673
504,-6.8572783
505,2.4317703
506,19.842386
507,-28.175922
508,-12.607829
509,-54.608856
510,-21.30719
511,-25.499353
512,19.428373
513,140.52162
514,432.5983
515,650.24115
516,714.3475
517,662.6961
518,691.40106
519,510.61975
520,393.80176
521,287.8698
522,79.12549
523,72.01274
524,44.527233
525,-19.861107
526,4.2048187
527,23.74599
528,33.435287
529,0.57497305
530,-26.919466
531,-19.533342
532,34.45425
533,13.061183
534,-4.857707
535,-30.827532
536,37.599655
537,168.42703
538,405.38895
539,647.686
540,679.3152
541,711.148
542,672.346
543,508.60007
544,319.9519
545,194.19916
546,26.36287
547,26.997616
548,10.105199
549,9.227834
550,10.533598
551,3.5868173
552,10.030879
553,-7.3872156
554,4.7579317
555,-81.61456
556,-18.959433
557,38.357983
558,1.2151059
559,11.858216
560,30.797108
561,163.41832
562,398.1326
563,575.2721
564,671.5662
565,738.5297
566,631.2225
567,344.26132
568,273.23157
569,233.53175
570,25.7306
571,-57.013958
572,2.6785276
573,-31.35613
574,-1.0073792
575,-6.579491
576,-7.7674704
577,-2.7498016
578,4.1289988
579,-5.6366982
580,6.5530562
581,5.5999556
582,-0.9238089
583,95.91489
584,-20.561922
585,122.354225
586,385.16293
587,542.35864
588,615.69904
589,652.1653
590,602.5527
591,406.59253
592,227.01898
593,182.7091
594,11.337167
595,-21.668037
596,4.7270503
597,4.6019583
598,12.963165
599,16.778473
600,24.887495
601,-19.75531
602,1.1157342
603,-13.050741
604,-1.9829
605,-8.4759035
606,7.0794997
607,85.46119
608,8.005094
609,190.57402
610,298.6236
611,483.597
612,668.2141
613,673.88947
614,618.7681
615,411.40155
616,276.3682
617,279.05795
618,81.31407
619,55.231915
620,25.578705
621,38.932972
622,17.410414
623,15.796726
624,8.096156
625,-4.70996
626,4.5822477
627,18.697765
628,-1.8467127
629,7.8587894
630,4.530351
631,6.8567376
632,44.95583
633,198.98936
634,427.05536
635,755.3852
636,684.7809
637,689.4023
638,681.3726
639,468.91428
640,356.28262
641,332.84525
642,91.61143
643,72.26211
644,53.74602
645,49.381405
646,23.985033
647,22.728085
648,7.9124365
649,-0.3781186
650,8.937044
651,-25.958925
652,-26.103704
653,-41.758717
654,-30.426275
655,-41.23928
656,15.783251
657,303.52643
658,469.27634
659,683.4201
660,744.87274
661,662.33154
662,653.97784
663,516.4225
664,340.38684
665,271.96414
666,45.737144
667,0.8520377
668,7.198718
669,6.8435125
670,-11.611009
671,-19.815176
672,-16.196823
673,7.6590624
674,17.456942
675,40.36357
676,19.798615
677,11.520606
678,2.3758218
679,67.624176
680,75.92483
681,281.76782
682,447.70627
683,618.99243
684,706.76666
685,685.1814
686,675.9413
687,544.9336
688,314.3585
689,161.28683
690,13.448112
691,56.28106
692,22.312983
693,9.440796
694,62.933636
695,32.706112
696,-24.71868
697,-82.80501
698,-23.025751
699,-5.569726
700,60.59335
701,35.133877
702,9.582955
703,21.198832
704,97.72857
705,308.68484
706,510.0781
707,668.8681
708,824.6294
